"","jordtype","komm","nedbarea","nmin","aar_mod","forfrugt","potnmin","jordn","pesticid","exptgens","mod_nmin","ngodnt","nopt","ngodnn","ngodn","nprot","saatid","rokap","dgv1059","sort","srtprot","nplac","dg25","ngtilg","ntilg","saamng","tkvs","saakern","partigerm","frspdag","jordinf","markgrm","antplnt","sorttkv","aks_m2","keraks","dgv5980","aks_vgt","srtsize","ksort","protein","udb","spndx","tkv","slt22","s2225","s2528","bgbyg"
"11","Jb_7","state1","x2__375_500_","x45_60","x_20","Beets","x75_90","x_120","x_2","x50_60","x60_75","x60_75","x135_150","x_45","x_45","x120_140","x_26_3","x187_5_212_5","x61_70","G_363ta","x4","worked_in_solil","x_22_5","x_45","x165_180","x210_230","x55_60","x375_424","x99_100","x23_25","x_95__97","x95_97","x375_425","x4","x650_750","x_23","x_35","x850_950","x_3","x_85","x9_5_10_0","x60_65","x9_10","x35_40","x3_5","x1_5","x20_25","x_3_0"
"12","JB_2","state1","x3___500_","x15_30","x25","Other","x45_60","x45_60","x_2","x40_50","x0_15","x105_120","x135_150","x75_90","x75_90","x60_80","x11_4_20_4","x87_5_112_5","x61_70","Abelone","x2","Placed","x_22_5","x75_90","x135_150","x130_150","x42_44","x325_375","x95_97","x_15","x_99_1_00","x95_97","x325_375","x3","x950_1150","x21_23","x25_35","x650_700","x0","x_85","x_9","x70_80","x9_10","x35_40","x3_5","x5_10","x15_20","x3_5_4_0"
"13","JB_8","state0","x3___500_","x30_45","x15","Beets","x_105","x_120","x_2","x30_40","x15_30","x75_90","x120_135","x_45","x_45","x120_140","x_26_4","x187_5_212_5","x41_50","Etna","x1","worked_in_solil","x_22_5","x_45","x150_165","x170_190","x30_35","x_450","x90_93","x_15","x_95__97","x85_90","x375_425","x5","x650_750","x15_17","x25_35","x850_950","x0","x_98","x_12_0","x60_65","x9_10","x42_5_45","x1_2","x0_1","x0_5","x_3_0"
"14","Jb_1_","state1","x1___375_","x0_15","x0","Clovergrass","x15_30","x30_45","x_2","x50_60","x0_15","x105_120","x135_150","x90_105","x90_105","x40_60","x_26_4","x37_5_62_5","x_25","Etna","x2","worked_in_solil","x_22_5","x90_105","x120_135","x70_90","x50_55","x_175","x85_90","x_15","x_97__98","x85_90","x_175","x3","x450_550","x13_15","x0_5","x750_850","x0","x_98","x_9","x30_40","x9_10","x42_5_45","x1_2","x0_1","x0_5","x4_0_4_5"
"15","JB_4","state2","x1___375_","x30_45","x_25","Cereals","x15_30","x75_90","x_2","x30_40","x60_75","x45_60","x120_135","x_45","x_45","x80_100","x11_4_20_4","x87_5_112_5","x51_60","Shamu","x4","worked_in_solil","x27_5_32_5","x_45","x105_120","x90_110","x42_44","x225_275","x93_95","x15_17","x_99_1_00","x94_95","x225_275","x5","x350_450","x15_17","x25_35","x700_750","x2","x90_95","x10_5_11_0","x_30","x9_10","x42_5_45","x3_5","x0_1","x0_5","x3_0_3_5"
"16","JB_5","state2","x2__375_500_","x30_45","x10","Beets","x45_60","x75_90","x_2","x40_50","x15_30","x90_105","x135_150","x60_75","x60_75","x80_100","x_26_4","x162_5_187_5","x51_60","Mentor","x3","Placed","x_57_5","x60_75","x135_150","x150_170","x42_44","x325_375","x98_99","x_15","x_99_1_00","x97_98","x325_375","x5","x550_650","x15_17","x_35","x750_850","x3","x95_98","x10_5_11_0","x40_50","x9_10","x42_5_45","x2_3","x0_1","x0_5","x3_0_3_5"
"17","JB_4","state4","x3___500_","x15_30","x_10","Clovergrass","x90_105","x_120","x_2","x40_50","x30_45","x60_75","x120_135","x_45","x_45","x120_140","x11_4_20_4","x112_5_137_5","x61_70","Lenka","x1","Placed","x27_5_32_5","x_45","x150_165","x70_90","x40_42","x175_225","x97_98","x_15","x_99_1_00","x95_97","x175_225","x5","x650_750","x21_23","x0_5","x850_950","x1","x_85","x9_5_10_0","x60_65","x9_10","x35_40","x3_5","x1_5","x10_15","x4_0_4_5"
"18","JB_5","state2","x3___500_","x30_45","x_5","Clovergrass","x15_30","x60_75","x_2","x40_50","x30_45","x60_75","x120_135","x45_60","x45_60","x60_80","x_26_3","x137_5_162_5","x61_70","Miralix","x5","worked_in_solil","x_22_5","x45_60","x105_120","x190_210","x35_40","x_450","x80_85","x17_19","x_99_1_00","x80_85","x325_375","x6","x650_750","x19_21","x0_5","x700_750","x0","x_85","x9_5_10_0","x50_55","x9_10","x40_42_5","x3_5","x5_10","x25_30","x4_5_5_0"
"19","JB_5","state3","x3___500_","x30_45","x_5","Other","x30_45","x75_90","x_2","x50_60","x30_45","x90_105","x120_135","x_45","x_45","x80_100","x21_4_26_4","x137_5_162_5","x41_50","Caruso","x5","Placed","x37_5_47_5","x_45","x105_120","x90_110","x42_44","x225_275","x_80","x_15","x_99_1_00","x75_80","x175_225","x5","x450_550","x17_19","x_35","x750_850","x1","x85_90","x_12_0","x30_40","x9_10","x40_42_5","x3_5","x0_1","x5_10","x_3_0"
"20","JB_2","state2","x1___375_","x30_45","x_25","Cereals","x90_105","x_120","x_2","x30_40","x60_75","x45_60","x120_135","x_45","x_45","x120_140","x26_3_10_4","x87_5_112_5","x61_70","Collie","x2","Placed","x_22_5","x_45","x150_165","x190_210","x44_46","x_450","x85_90","x23_25","x93__95","x80_85","x325_375","x3","x750_950","x15_17","x25_35","x850_950","x0","x_98","x11_5_12_0","x70_80","x9_10","x40_42_5","x1_2","x0_1","x0_5","x4_0_4_5"
"21","Jb_7","state2","x2__375_500_","x30_45","x5","Clovergrass","x_105","x_120","x_2","x50_60","x30_45","x75_90","x135_150","x_45","x_45","x120_140","x21_4_26_4","x187_5_212_5","x51_60","Goldie","x6","Placed","x_22_5","x_45","x150_165","x70_90","x44_46","x175_225","x93_95","x_15","x_99_1_00","x94_95","x175_225","x4","x450_550","x17_19","x5_10","x950_1050","x2","x_98","x_12_0","x50_55","x9_10","x47_5_50","x1_2","x0_1","x0_5","x_5_0"
"22","JB_5","state1","x2__375_500_","x15_30","x20","Cereals","x15_30","x15_30","x_2","x40_50","x0_15","x120_135","x135_150","x120_135","x120_135","x40_60","x26_3_10_4","x112_5_137_5","x61_70","Bartok","x3","Placed","x_22_5","x120_135","x150_165","x50_70","x30_35","x175_225","x97_98","x21_23","x90__93","x85_90","x175_225","x3","x750_950","x17_19","x25_35","x600_650","x_1","x_85","x11_5_12_0","x50_55","x9_10","x40_42_5","x3_5","x5_10","x25_30","x3_5_4_0"
"23","JB_6","state4","x3___500_","x30_45","x0","Beets","x30_45","x75_90","x_2","x50_60","x30_45","x90_105","x135_150","x60_75","x60_75","x80_100","x_26_4","x137_5_162_5","x41_50","Reggae","x2","worked_in_solil","x27_5_32_5","x45_60","x120_135","x70_90","x30_35","x225_275","x90_93","x_15","x_99_1_00","x90_93","x225_275","x6","x450_550","x13_15","x15_25","x650_700","x3","x95_98","x_12_0","x30_40","x9_10","x45_47_5","x3_5","x0_1","x0_5","x3_0_3_5"
"24","JB_5","state2","x2__375_500_","x30_45","x0","Cereals","x15_30","x45_60","x_2","x40_50","x30_45","x90_105","x120_135","x75_90","x75_90","x60_80","x_26_4","x137_5_162_5","x51_60","Delibes","x4","worked_in_solil","x11_5_27_5","x60_75","x105_120","x150_170","x30_35","x_450","x95_97","x_15","x_99_1_00","x95_97","x_425","x7","x450_550","x15_17","x_35","x750_850","x_1","x95_98","x10_5_11_0","x30_40","x9_10","x47_5_50","x3_5","x0_1","x0_5","x_3_0"
"25","JB_8","state3","x1___375_","x45_60","x20","Cer_rotation","x60_75","x90_105","x_2","x40_50","x30_45","x75_90","x135_150","x_45","x_45","x100_120","x_26_4","x187_5_212_5","x51_60","Maresi","x6","worked_in_solil","x37_5_47_5","x_45","x120_135","x130_150","x35_40","x325_375","x85_90","x15_17","x_99_1_00","x85_90","x275_325","x5","x750_950","x17_19","x_35","x700_750","x2","x_85","x_12_0","x60_65","x9_10","x_35","x3_5","x1_5","x10_15","x3_0_3_5"
"26","JB_6","state3","x2__375_500_","x30_45","x15","Cereals","x30_45","x60_75","x_2","x40_50","x15_30","x105_120","x120_135","x60_75","x60_75","x80_100","x21_4_26_4","x187_5_212_5","x51_60","Etna","x2","Placed","x_22_5","x60_75","x120_135","x230_250","x44_46","x_450","x80_85","x_15","x_95__97","x75_80","x325_375","x5","x550_650","x17_19","x5_10","x850_950","x0","x95_98","x10_0_10_5","x50_55","x9_10","x40_42_5","x3_5","x0_1","x0_5","x4_0_4_5"
"27","Jb_1_","state0","x2__375_500_","x15_30","x15","Beets","x15_30","x15_30","x_2","x40_50","x0_15","x105_120","x120_135","x105_120","x105_120","x40_60","x11_4_20_4","x62_5_87_5","x25_40","Senor","x4","Placed","x37_5_47_5","x105_120","x135_150","x50_70","x46_48","x_175","x97_98","x17_19","x_98__99","x95_97","x_175","x5","x650_750","x15_17","x25_35","x950_1050","x1","x_98","x9_5_10_0","x65_70","x9_10","x35_40","x0_1","x0_1","x0_5","x3_0_3_5"
"28","JB_2","state2","x1___375_","x30_45","x_15","Cereals","x15_30","x75_90","x_2","x40_50","x45_60","x75_90","x120_135","x45_60","x45_60","x80_100","x26_3_10_4","x112_5_137_5","x61_70","Optic","x3","Placed","x_22_5","x45_60","x120_135","x190_210","x40_42","x_450","x98_99","x17_19","x_99_1_00","x97_98","x_425","x7","x550_650","x17_19","x10_15","x750_850","x0","x90_95","x10_5_11_0","x40_50","x9_10","x45_47_5","x3_5","x0_1","x5_10","x4_0_4_5"
"29","JB_8","state3","x2__375_500_","x15_30","x5","Cereals","x15_30","x30_45","x_2","x40_50","x15_30","x105_120","x120_135","x75_90","x75_90","x40_60","x26_3_10_4","x162_5_187_5","x51_60","Marielle","x4","Top_dressed","x_57_5","x_45","x_75","x230_250","x50_55","x_450","x95_97","x15_17","x_99_1_00","x95_97","x_425","x4","x350_450","x19_21","x25_35","x650_700","x0","x_85","x9_5_10_0","x_30","x9_10","x35_40","x3_5","x5_10","x25_30","x3_5_4_0"
"30","Jb_1_","state0","x3___500_","x15_30","x0","Cer_rotation","x15_30","x45_60","x_2","x30_40","x15_30","x90_105","x120_135","x75_90","x75_90","x60_80","x_26_4","x37_5_62_5","x_25","Goldie","x6","worked_in_solil","x27_5_32_5","x60_75","x105_120","x190_210","x30_35","x_450","x85_90","x_15","x_95__97","x80_85","x325_375","x4","x450_550","x13_15","x15_25","x750_850","x3","x_98","x_12_0","x40_50","x9_10","x45_47_5","x1_2","x0_1","x0_5","x3_5_4_0"
"31","JB_8","state3","x2__375_500_","x30_45","x_15","Beets","x30_45","x75_90","x_2","x40_50","x45_60","x60_75","x135_150","x60_75","x60_75","x80_100","x11_4_20_4","x187_5_212_5","x51_60","Reggae","x2","Top_dressed","x_57_5","x_45","x105_120","x130_150","x40_42","x325_375","x90_93","x_15","x_99_1_00","x90_93","x275_325","x6","x550_650","x21_23","x25_35","x850_950","x1","x_85","x_12_0","x50_55","x9_10","x40_42_5","x3_5","x1_5","x10_15","x3_0_3_5"
"32","JB_3","state4","x1___375_","x15_30","x15","Other","x30_45","x45_60","x_2","x30_40","x0_15","x105_120","x120_135","x60_75","x60_75","x60_80","x21_4_26_4","x87_5_112_5","x51_60","Cork","x3","worked_in_solil","x32_5_37_5","x45_60","x90_105","x50_70","x46_48","x_175","x85_90","x_15","x_98__99","x85_90","x_175","x7","x550_650","x17_19","x_35","x850_950","x0","x90_95","x9_5_10_0","x50_55","x9_10","x35_40","x3_5","x0_1","x0_5","x3_0_3_5"
"33","Jb_7","state4","x1___375_","x45_60","x10","Beets","x15_30","x60_75","x_2","x50_60","x30_45","x90_105","x135_150","x60_75","x60_75","x80_100","x21_4_26_4","x137_5_162_5","x51_60","Teal","x4","Top_dressed","x11_5_27_5","x75_90","x150_165","x230_250","x42_44","x_450","x93_95","x15_17","x_99_1_00","x94_95","x375_425","x4","x950_1150","x19_21","x5_10","x700_750","x1","x_85","x_12_0","x70_80","x9_10","x35_40","x3_5","x1_5","x20_25","x4_0_4_5"
"34","JB_4","state3","x2__375_500_","x15_30","x0","Cer_rotation","x15_30","x45_60","x_2","x40_50","x15_30","x90_105","x120_135","x75_90","x75_90","x60_80","x26_3_10_4","x87_5_112_5","x25_40","Reggae","x4","Top_dressed","x_22_5","x75_90","x120_135","x90_110","x35_40","x225_275","x95_97","x15_17","x_98__99","x94_95","x225_275","x4","x450_550","x17_19","x15_25","x850_950","x1","x95_98","x_12_0","x40_50","x9_10","x42_5_45","x3_5","x0_1","x0_5","x3_5_4_0"
"35","Jb_1_","state1","x3___500_","x0_15","x_10","Cer_rotation","x0_15","x15_30","x_2","x30_40","x15_30","x90_105","x120_135","x105_120","x90_105","x40_60","x26_3_10_4","x37_5_62_5","x41_50","Digger","x3","worked_in_solil","x_22_5","x105_120","x135_150","x70_90","x46_48","x_175","x93_95","x17_19","x90__93","x85_90","x_175","x5","x450_550","x17_19","x5_10","x850_950","x2","x_98","x9_5_10_0","x40_50","x9_10","x45_47_5","x2_3","x0_1","x0_5","x4_0_4_5"
"36","JB_3","state3","x3___500_","x15_30","x_25","Cer_rotation","x0_15","x45_60","x_2","x30_40","x45_60","x60_75","x120_135","x75_90","x60_75","x60_80","x_26_3","x87_5_112_5","x51_60","Lenka","x2","Top_dressed","x_22_5","x60_75","x120_135","x150_170","x30_35","x_450","x95_97","x21_23","x_99_1_00","x95_97","x_425","x6","x550_650","x19_21","x10_15","x850_950","x2","x90_95","x_9","x50_55","x9_10","x42_5_45","x3_5","x0_1","x0_5","x4_0_4_5"
"37","JB_3","state2","x3___500_","x15_30","x5","Cer_rotation","x15_30","x30_45","x_2","x30_40","x15_30","x90_105","x120_135","x75_90","x75_90","x40_60","x21_4_26_4","x62_5_87_5","x51_60","Selim","x2","Top_dressed","x_22_5","x45_60","x75_90","x110_130","x44_46","x225_275","x93_95","x_15","x_99_1_00","x94_95","x225_275","x5","x350_450","x19_21","x5_10","x700_750","x1","x_85","x9_0_9_5","x_30","x9_10","x35_40","x3_5","x1_5","x20_25","x4_0_4_5"
"38","JB_2","state0","x3___500_","x15_30","x_5","Other","x75_90","x105_120","x_2","x40_50","x15_30","x90_105","x120_135","x_45","x_45","x100_120","x26_3_10_4","x112_5_137_5","x51_60","Cooper","x2","Placed","x_22_5","x_45","x135_150","x150_170","x44_46","x325_375","x95_97","x23_25","x_95__97","x90_93","x275_325","x5","x550_650","x17_19","x15_25","x850_950","x1","x95_98","x9_5_10_0","x50_55","x9_10","x35_40","x3_5","x0_1","x0_5","x4_0_4_5"
"39","JB_6","state4","x3___500_","x30_45","x_5","Beets","x75_90","x_120","x_2","x40_50","x30_45","x75_90","x135_150","x_45","x_45","x120_140","x_26_3","x187_5_212_5","x61_70","Ragtime","x3","Placed","x_22_5","x_45","x150_165","x230_250","x48_50","x_450","x_80","x17_19","x_99_1_00","x75_80","x325_375","x7","x750_950","x21_23","x10_15","x850_950","x_1","x_85","x_9","x70_80","x9_10","x40_42_5","x3_5","x1_5","x20_25","x4_5_5_0"
"40","JB_8","state2","x3___500_","x30_45","x0","Beets","x15_30","x60_75","x_2","x40_50","x30_45","x75_90","x120_135","x60_75","x60_75","x80_100","x26_3_10_4","x137_5_162_5","x51_60","Vintage","x4","Placed","x_22_5","x60_75","x120_135","x150_170","x44_46","x325_375","x95_97","x19_21","x_99_1_00","x95_97","x325_375","x4","x550_650","x17_19","x15_25","x750_850","x2","x85_90","x11_5_12_0","x40_50","x9_10","x42_5_45","x3_5","x0_1","x0_5","x3_5_4_0"
"41","JB_6","state0","x3___500_","x15_30","x_10","Cereals","x0_15","x30_45","x_2","x40_50","x30_45","x90_105","x120_135","x90_105","x90_105","x40_60","x26_3_10_4","x187_5_212_5","x61_70","Collie","x2","Top_dressed","x_22_5","x105_120","x150_165","x50_70","x42_44","x_175","x_80","x15_17","x_99_1_00","x75_80","x_175","x3","x950_1150","x19_21","x15_25","x700_750","x0","x_85","x9_0_9_5","x70_80","x9_10","x35_40","x3_5","x5_10","x25_30","x3_5_4_0"
"42","JB_8","state2","x1___375_","x45_60","x0","Clovergrass","x0_15","x45_60","x_2","x40_50","x45_60","x45_60","x120_135","x60_75","x45_60","x60_80","x21_4_26_4","x162_5_187_5","x51_60","Ragtime","x3","Top_dressed","x_22_5","x_45","x75_90","x70_90","x55_60","x_175","x90_93","x15_17","x_95__97","x85_90","x_175","x7","x_350","x19_21","x_35","x650_700","x__1","x_85","x_12_0","x_30","x9_10","x42_5_45","x3_5","x5_10","x25_30","x_3_0"
"43","JB_6","state0","x2__375_500_","x30_45","x_25","Clovergrass","x_105","x_120","x_2","x50_60","x60_75","x45_60","x135_150","x_45","x_45","x120_140","x11_4_20_4","x162_5_187_5","x51_60","Lamba","x1","Placed","x_22_5","x_45","x165_180","x230_250","x40_42","x_450","x_80","x15_17","x_99_1_00","x75_80","x325_375","x3","x450_550","x21_23","x15_25","x850_950","x1","x_85","x11_0_11_5","x40_50","x9_10","x42_5_45","x3_5","x1_5","x10_15","x3_5_4_0"
"44","JB_9","state3","x2__375_500_","x45_60","x_25","Clovergrass","x0_15","x75_90","x_2","x40_50","x_75","x_45","x135_150","x60_75","x_45","x80_100","x11_4_20_4","x162_5_187_5","x51_60","Polygena","x5","Top_dressed","x11_5_27_5","x_45","x105_120","x90_110","x46_48","x175_225","x95_97","x_15","x_99_1_00","x95_97","x175_225","x5","x550_650","x17_19","x0_5","x700_750","x_3","x85_90","x_12_0","x40_50","x9_10","x40_42_5","x3_5","x1_5","x5_10","x4_5_5_0"
"45","JB_3","state1","x2__375_500_","x15_30","x5","Other","x15_30","x30_45","x_2","x40_50","x15_30","x90_105","x135_150","x105_120","x90_105","x40_60","x_26_4","x62_5_87_5","x_25","Amber","x3","worked_in_solil","x27_5_32_5","x90_105","x135_150","x210_230","x55_60","x375_424","x80_85","x15_17","x_98__99","x80_85","x325_375","x6","x550_650","x13_15","x_35","x950_1050","x1","x_98","x10_0_10_5","x55_60","x9_10","x47_5_50","x0_1","x0_1","x0_5","x_3_0"
"46","Jb_1_","state4","x1___375_","x0_15","x25","Beets","x15_30","x0_15","x_2","x40_50","x0_15","x105_120","x135_150","x135_150","x105_120","x_40","x26_3_10_4","x37_5_62_5","x25_40","Krona","x4","Placed","x_22_5","x105_120","x120_135","x130_150","x42_44","x325_375","x97_98","x19_21","x_98__99","x95_97","x325_375","x5","x350_450","x15_17","x0_5","x700_750","x2","x90_95","x9_5_10_0","x_30","x9_10","x42_5_45","x3_5","x0_1","x0_5","x4_5_5_0"
"47","JB_9","state3","x1___375_","x45_60","x20","Beets","x30_45","x60_75","x_2","x40_50","x30_45","x75_90","x120_135","x45_60","x45_60","x60_80","x11_4_20_4","x187_5_212_5","x61_70","Digger","x2","Top_dressed","x32_5_37_5","x_45","x90_105","x110_130","x44_46","x225_275","x98_99","x_15","x_98__99","x97_98","x225_275","x6","x750_950","x17_19","x15_25","x600_650","x_3","x_85","x9_5_10_0","x50_55","x9_10","x35_40","x3_5","x1_5","x15_20","x3_5_4_0"
"48","JB_4","state4","x3___500_","x15_30","x5","Clovergrass","x_105","x_120","x_2","x50_60","x15_30","x90_105","x135_150","x_45","x_45","x120_140","x_26_4","x137_5_162_5","x41_50","Lenka","x2","worked_in_solil","x32_5_37_5","x_45","x150_165","x130_150","x46_48","x275_325","x_80","x_15","x_99_1_00","x75_80","x225_275","x6","x550_650","x17_19","x_35","x950_1050","x2","x_98","x10_5_11_0","x60_65","x9_10","x47_5_50","x1_2","x0_1","x0_5","x_3_0"
"49","Jb_7","state3","x3___500_","x30_45","x25","Clovergrass","x30_45","x45_60","x_2","x50_60","x0_15","x105_120","x135_150","x75_90","x75_90","x60_80","x11_4_20_4","x162_5_187_5","x61_70","Miralix","x4","Top_dressed","x_22_5","x75_90","x120_135","x230_250","x50_55","x_450","x95_97","x_15","x_95__97","x90_93","x375_425","x6","x950_1150","x17_19","x25_35","x650_700","x2","x_85","x10_5_11_0","x70_80","x9_10","x40_42_5","x3_5","x1_5","x15_20","x3_0_3_5"
"50","JB_4","state4","x3___500_","x30_45","x_15","Beets","x45_60","x105_120","x_2","x30_40","x45_60","x45_60","x120_135","x_45","x_45","x100_120","x_26_3","x87_5_112_5","x41_50","Mentor","x4","worked_in_solil","x_22_5","x_45","x135_150","x70_90","x48_50","x_175","x90_93","x23_25","x_99_1_00","x90_93","x_175","x4","x650_750","x19_21","x5_10","x750_850","x3","x_85","x_12_0","x55_60","x9_10","x40_42_5","x3_5","x1_5","x10_15","x4_0_4_5"
"51","JB_3","state3","x2__375_500_","x15_30","x_5","Clovergrass","x15_30","x45_60","x_2","x40_50","x15_30","x75_90","x135_150","x90_105","x75_90","x60_80","x_26_4","x87_5_112_5","x41_50","Lysimax","x5","Placed","x11_5_27_5","x75_90","x135_150","x230_250","x30_35","x_450","x98_99","x_15","x_99_1_00","x98__99","x_425","x1","x750_950","x19_21","x25_35","x850_950","x_1","x85_90","x11_5_12_0","x70_80","x9_10","x35_40","x3_5","x1_5","x5_10","x3_5_4_0"
"52","JB_8","state3","x3___500_","x30_45","x20","Cer_rotation","x15_30","x30_45","x_2","x30_40","x15_30","x90_105","x120_135","x90_105","x90_105","x40_60","x11_4_20_4","x187_5_212_5","x61_70","Shamu","x3","worked_in_solil","x27_5_32_5","x90_105","x135_150","x90_110","x46_48","x175_225","x80_85","x_15","x_99_1_00","x80_85","x_175","x5","x550_650","x17_19","x10_15","x850_950","x2","x95_98","x10_0_10_5","x50_55","x9_10","x40_42_5","x2_3","x0_1","x0_5","x4_0_4_5"
"53","JB_2","state2","x2__375_500_","x30_45","x_20","Beets","x45_60","x105_120","x_2","x30_40","x45_60","x45_60","x120_135","x_45","x_45","x100_120","x11_4_20_4","x112_5_137_5","x41_50","Evelyn","x2","worked_in_solil","x27_5_32_5","x_45","x135_150","x70_90","x46_48","x_175","x93_95","x21_23","x93__95","x85_90","x_175","x8","x450_550","x17_19","x_35","x850_950","x_1","x95_98","x9_0_9_5","x40_50","x9_10","x42_5_45","x3_5","x0_1","x0_5","x_3_0"
