"","asia","tub","smoke","lung","bronc","either","xray","dysp"
"81","no","no","yes","yes","yes","yes","yes","yes"
"82","no","no","yes","no","yes","no","no","no"
"83","no","no","no","no","no","no","no","no"
"84","no","no","no","no","no","no","no","no"
"85","no","no","no","no","no","no","no","no"
"86","no","no","no","no","no","no","no","no"
"87","no","no","no","no","no","no","no","no"
"88","no","no","no","no","no","no","no","no"
"89","no","no","yes","no","no","no","no","no"
"90","no","no","no","no","yes","no","no","yes"
"91","no","no","yes","no","no","no","no","no"
"92","no","no","no","no","no","no","no","no"
"93","no","no","no","no","no","no","yes","no"
"94","no","no","no","no","yes","no","no","yes"
"95","no","no","yes","no","no","no","no","no"
"96","no","no","no","no","yes","no","no","no"
"97","no","no","yes","no","yes","no","no","yes"
"98","no","no","yes","no","no","no","no","no"
"99","no","no","yes","no","no","no","no","no"
"100","no","no","no","no","no","no","no","no"
"101","no","no","yes","no","no","no","no","yes"
"102","no","no","yes","no","no","no","no","no"
"103","no","no","yes","no","no","no","no","no"
"104","no","no","yes","no","yes","no","no","yes"
"105","no","no","yes","no","yes","no","no","yes"
"106","no","no","no","no","yes","no","no","yes"
"107","no","no","no","no","no","no","no","no"
"108","yes","no","no","no","no","no","no","no"
"109","no","no","no","no","no","no","no","yes"
"110","no","no","yes","no","yes","no","no","yes"
"111","no","no","yes","no","no","no","no","no"
"112","no","no","no","no","no","no","no","no"
"113","no","no","yes","no","yes","no","no","yes"
"114","no","no","yes","no","no","no","no","no"
"115","no","no","yes","no","yes","no","no","yes"
"116","no","no","no","no","no","no","no","no"
"117","no","no","yes","no","no","no","yes","no"
"118","no","no","yes","no","no","no","no","yes"
"119","no","no","yes","no","yes","no","no","yes"
"120","no","no","no","no","no","no","no","no"
"121","no","no","yes","no","no","no","no","yes"
"122","no","yes","no","no","no","yes","yes","yes"
"123","no","no","yes","no","yes","no","no","no"
"124","no","no","no","no","no","no","no","no"
"125","no","no","no","no","no","no","no","no"
"126","no","no","no","no","no","no","no","no"
"127","no","no","yes","no","yes","no","no","no"
"128","no","no","no","no","no","no","no","no"
"129","no","no","yes","no","yes","no","no","yes"
"130","no","no","yes","no","yes","no","no","no"
"131","no","no","no","no","no","no","no","yes"
"132","no","no","yes","no","yes","no","no","yes"
"133","no","no","no","no","no","no","no","no"
"134","no","no","yes","no","yes","no","no","yes"
"135","no","no","no","no","no","no","no","no"
"136","no","no","yes","yes","yes","yes","yes","yes"
"137","no","no","no","no","no","no","no","no"
"138","no","no","no","no","no","no","no","no"
"139","no","no","yes","no","yes","no","no","yes"
"140","no","no","yes","no","yes","no","no","yes"
"141","no","no","yes","no","yes","no","no","yes"
"142","no","no","no","no","no","no","no","no"
"143","no","no","no","no","no","no","no","no"
"144","no","no","yes","no","yes","no","no","yes"
"145","no","no","no","no","yes","no","no","yes"
"146","no","no","no","no","yes","no","no","yes"
"147","no","no","yes","no","no","no","no","no"
"148","no","no","yes","no","no","no","no","yes"
"149","no","no","no","no","no","no","no","no"
"150","no","no","yes","no","yes","no","no","yes"
"151","no","no","no","no","no","no","no","no"
"152","no","no","no","no","no","no","no","no"
"153","no","no","no","no","no","no","no","no"
"154","no","no","no","no","no","no","no","no"
"155","no","no","yes","yes","no","yes","yes","yes"
"156","no","no","no","no","yes","no","no","no"
"157","no","no","no","no","no","no","no","no"
"158","no","no","yes","no","yes","no","no","no"
"159","no","no","no","no","no","no","no","no"
"160","no","no","yes","no","yes","no","no","yes"
"161","no","no","no","no","no","no","no","no"
"162","no","no","no","no","no","no","no","no"
"163","no","no","no","no","yes","no","no","yes"
"164","no","no","yes","no","no","no","yes","no"
"165","no","no","no","no","yes","no","no","yes"
"166","no","no","yes","no","yes","no","no","yes"
"167","no","no","yes","yes","yes","yes","yes","no"
"168","no","no","no","no","no","no","no","no"
"169","no","no","yes","no","no","no","no","no"
"170","no","no","no","no","no","no","yes","no"
"171","no","no","yes","no","yes","no","no","no"
"172","no","no","no","no","no","no","no","no"
"173","no","no","yes","yes","no","yes","yes","no"
"174","no","no","no","no","no","no","no","no"
"175","no","no","yes","no","yes","no","no","yes"
"176","no","no","no","no","no","no","no","yes"
"177","no","no","no","no","no","no","no","no"
"178","no","no","no","no","no","no","no","no"
"179","no","no","no","no","no","no","no","no"
"180","no","no","yes","no","yes","no","yes","no"
"181","no","no","yes","no","yes","no","no","yes"
"182","no","no","yes","no","yes","no","no","yes"
"183","no","no","no","no","no","no","no","no"
"184","no","no","no","no","yes","no","no","yes"
"185","no","no","yes","no","yes","no","no","yes"
"186","no","no","no","no","no","no","no","no"
"187","no","no","no","no","no","no","no","no"
"188","no","no","yes","no","no","no","no","no"
"189","no","no","yes","no","yes","no","no","yes"
"190","no","no","yes","no","yes","no","no","yes"
"191","no","no","no","no","no","no","no","no"
"192","no","no","yes","no","no","no","no","no"
"193","no","no","yes","no","no","no","no","no"
"194","no","no","yes","no","yes","no","no","no"
"195","no","no","yes","no","no","no","no","no"
"196","no","no","no","no","yes","no","no","yes"
"197","no","no","no","no","no","no","no","no"
"198","no","no","no","no","yes","no","no","yes"
"199","no","no","no","no","no","no","no","no"
"200","no","no","no","no","no","no","no","yes"
"201","no","no","yes","no","yes","no","no","yes"
"202","no","no","no","no","yes","no","no","yes"
"203","no","no","no","no","yes","no","no","no"
"204","no","no","no","no","no","no","no","no"
"205","no","no","yes","no","yes","no","no","yes"
"206","no","no","yes","no","no","no","no","no"
"207","no","no","no","no","no","no","no","no"
"208","no","no","yes","no","no","no","no","yes"
"209","no","no","no","no","no","no","no","yes"
"210","no","no","yes","yes","no","yes","yes","no"
"211","no","no","no","no","no","no","no","no"
"212","no","no","no","yes","no","yes","yes","yes"
"213","no","no","yes","no","yes","no","no","yes"
"214","no","no","yes","no","yes","no","no","yes"
"215","no","no","no","no","no","no","no","no"
"216","no","no","yes","no","yes","no","no","yes"
"217","no","no","no","no","yes","no","no","yes"
"218","no","no","no","no","yes","no","no","no"
"219","no","no","no","no","no","no","no","no"
"220","no","no","no","no","yes","no","no","yes"
"221","no","no","no","no","no","no","no","no"
"222","no","no","no","no","no","no","no","yes"
"223","no","no","yes","no","no","no","no","no"
"224","no","no","yes","no","yes","no","no","yes"
"225","no","no","yes","no","no","no","no","no"
"226","no","no","yes","no","yes","no","no","yes"
"227","no","no","no","no","no","no","yes","no"
"228","no","no","no","no","no","no","no","no"
"229","no","no","no","yes","no","yes","yes","no"
"230","no","no","no","no","no","no","no","no"
"231","no","no","yes","no","yes","no","no","yes"
"232","no","no","yes","no","no","no","no","no"
"233","no","no","yes","no","no","no","no","no"
"234","no","no","no","no","yes","no","no","yes"
"235","no","no","no","no","no","no","yes","no"
"236","no","no","yes","no","yes","no","no","yes"
"237","no","no","yes","no","yes","no","yes","yes"
"238","no","no","no","no","no","no","no","yes"
"239","no","no","no","no","yes","no","no","yes"
"240","no","no","no","no","yes","no","no","yes"
"241","no","no","no","no","no","no","yes","no"
"242","no","no","no","no","yes","no","no","yes"
"243","no","no","no","no","no","no","no","no"
"244","no","no","yes","no","yes","no","no","yes"
"245","no","no","yes","no","yes","no","no","yes"
"246","no","no","yes","no","no","no","no","yes"
"247","no","no","yes","no","no","no","no","no"
"248","no","no","yes","yes","yes","yes","yes","yes"
"249","no","no","yes","no","no","no","no","no"
"250","no","no","no","no","yes","no","no","yes"
"251","no","no","yes","no","yes","no","no","no"
"252","no","no","no","no","no","no","no","no"
"253","no","no","no","no","no","no","no","no"
"254","no","no","no","no","yes","no","no","no"
"255","no","no","yes","no","no","no","no","no"
"256","no","no","yes","no","no","no","no","no"
"257","no","no","no","no","no","no","no","no"
"258","no","no","yes","no","yes","no","yes","yes"
"259","no","no","yes","no","no","no","no","no"
"260","no","no","no","no","no","no","no","no"
"261","no","no","no","no","yes","no","no","yes"
"262","no","no","yes","no","yes","no","yes","yes"
"263","no","no","yes","no","yes","no","no","yes"
"264","no","no","no","yes","no","yes","yes","yes"
"265","no","no","yes","no","no","no","yes","no"
"266","no","no","no","no","no","no","no","no"
"267","no","no","no","no","yes","no","no","yes"
"268","no","no","yes","no","yes","no","no","yes"
"269","yes","no","yes","no","no","no","yes","no"
"270","no","no","yes","no","yes","no","no","yes"
"271","no","no","no","no","no","no","no","no"
"272","no","no","yes","no","yes","no","no","yes"
"273","no","no","yes","no","yes","no","no","yes"
"274","no","no","yes","no","no","no","no","no"
"275","no","no","yes","no","no","no","no","yes"
"276","no","no","yes","no","yes","no","no","yes"
"277","no","no","no","no","no","no","no","no"
"278","no","no","yes","no","no","no","no","no"
"279","no","no","yes","no","yes","no","no","yes"
"280","no","no","no","no","no","no","no","no"
"281","no","no","yes","no","no","no","no","no"
"282","no","no","yes","no","yes","no","no","yes"
"283","no","no","yes","no","yes","no","no","yes"
"284","no","no","no","no","no","no","no","no"
"285","no","no","no","no","yes","no","no","yes"
"286","no","no","yes","no","yes","no","no","yes"
"287","no","no","no","no","no","no","no","no"
"288","no","no","no","no","no","no","no","no"
"289","no","no","yes","yes","yes","yes","yes","yes"
"290","no","no","yes","no","no","no","no","no"
"291","no","no","yes","no","yes","no","no","yes"
"292","no","no","yes","no","no","no","no","no"
"293","no","no","yes","no","yes","no","yes","yes"
"294","no","no","no","no","yes","no","no","no"
"295","no","no","no","no","no","no","yes","no"
"296","no","no","yes","no","yes","no","no","yes"
"297","no","no","yes","no","no","no","no","no"
"298","no","no","yes","no","no","no","no","no"
"299","no","no","yes","no","yes","no","no","yes"
"300","no","no","yes","no","yes","no","no","yes"
"301","no","no","no","no","no","no","no","no"
"302","no","no","yes","no","yes","no","no","yes"
"303","no","no","no","no","no","no","no","no"
"304","no","no","yes","yes","yes","yes","yes","yes"
"305","no","no","no","no","no","no","no","no"
"306","no","no","yes","no","yes","no","no","yes"
"307","no","no","yes","no","yes","no","no","yes"
"308","no","no","yes","no","yes","no","no","yes"
"309","no","no","yes","yes","no","yes","yes","no"
"310","no","no","yes","no","no","no","no","no"
"311","no","no","yes","no","no","no","no","no"
"312","no","no","no","no","yes","no","no","yes"
"313","no","no","no","no","no","no","no","no"
"314","no","no","no","no","no","no","no","no"
"315","no","no","yes","no","yes","no","no","no"
"316","no","no","no","no","no","no","no","no"
"317","no","no","no","no","no","no","no","no"
"318","no","no","yes","no","yes","no","yes","yes"
"319","no","no","no","no","yes","no","no","yes"
"320","no","no","yes","no","no","no","no","no"
"321","no","no","yes","no","yes","no","no","yes"
"322","no","no","no","no","no","no","no","no"
"323","no","no","no","no","no","no","no","no"
"324","no","no","no","no","no","no","no","no"
"325","no","no","yes","no","yes","no","no","yes"
"326","no","no","yes","no","yes","no","no","yes"
"327","no","no","no","no","yes","no","no","yes"
"328","no","no","yes","no","yes","no","no","yes"
"329","no","no","yes","no","no","no","no","no"
"330","no","no","no","no","yes","no","no","yes"
"331","no","no","no","no","no","no","no","no"
"332","no","no","no","no","no","no","no","no"
"333","no","no","no","no","no","no","no","no"
"334","no","no","no","no","no","no","no","no"
"335","no","no","no","no","yes","no","no","yes"
"336","no","no","yes","no","yes","no","no","yes"
"337","no","no","no","no","no","no","no","no"
"338","no","no","yes","no","yes","no","no","yes"
"339","no","no","no","no","no","no","no","no"
"340","no","no","yes","no","yes","no","no","no"
"341","no","no","no","no","yes","no","no","no"
"342","no","no","no","no","no","no","no","no"
"343","no","no","no","no","yes","no","no","yes"
"344","no","no","yes","no","no","no","no","no"
"345","no","no","yes","no","no","no","no","no"
"346","no","no","no","no","no","no","no","no"
"347","no","no","yes","no","yes","no","no","no"
"348","no","no","yes","no","no","no","no","no"
"349","no","no","yes","yes","yes","yes","yes","yes"
"350","no","no","yes","no","no","no","no","no"
"351","no","no","no","no","no","no","no","no"
"352","no","no","yes","no","yes","no","no","yes"
"353","no","no","no","no","yes","no","no","yes"
"354","no","no","yes","no","yes","no","no","yes"
"355","no","no","yes","no","yes","no","no","yes"
"356","no","no","no","no","yes","no","no","yes"
"357","no","no","yes","no","yes","no","no","yes"
"358","no","no","yes","yes","yes","yes","yes","yes"
"359","no","no","no","no","no","no","no","no"
"360","no","no","no","no","yes","no","no","yes"
"361","no","no","yes","no","yes","no","no","yes"
"362","no","no","no","no","yes","no","no","yes"
"363","no","no","yes","no","yes","no","no","yes"
"364","no","no","no","no","yes","no","no","yes"
"365","no","no","no","no","no","no","no","no"
"366","no","no","no","no","no","no","no","no"
"367","no","no","no","no","no","no","no","no"
"368","no","no","yes","no","yes","no","yes","yes"
"369","no","no","yes","no","no","no","no","no"
"370","no","no","yes","no","yes","no","no","yes"
"371","no","no","no","no","no","no","no","yes"
"372","no","no","no","no","yes","no","no","yes"
"373","no","no","yes","no","yes","no","no","yes"
"374","no","no","no","no","yes","no","no","yes"
"375","no","no","no","yes","no","yes","yes","no"
"376","no","no","yes","no","no","no","yes","no"
"377","no","no","yes","no","yes","no","no","yes"
"378","no","no","no","no","yes","no","no","yes"
"379","no","no","yes","no","no","no","no","no"
"380","no","no","no","no","yes","no","no","yes"
"381","no","no","no","no","no","no","no","no"
"382","no","no","yes","no","no","no","no","no"
"383","no","no","yes","no","yes","no","no","no"
"384","no","no","no","no","no","no","yes","no"
"385","no","no","no","no","no","no","no","no"
"386","no","no","yes","no","yes","no","no","no"
"387","no","no","yes","yes","no","yes","yes","yes"
"388","no","no","yes","no","no","no","no","no"
"389","no","no","yes","no","yes","no","no","yes"
"390","no","no","no","no","no","no","no","no"
"391","no","no","no","no","no","no","no","no"
"392","no","no","no","no","yes","no","no","yes"
"393","no","no","yes","no","no","no","no","no"
"394","no","no","yes","no","yes","no","no","yes"
"395","no","no","no","no","yes","no","no","yes"
"396","no","no","no","no","no","no","no","no"
"397","no","no","yes","no","no","no","no","no"
"398","no","no","yes","no","yes","no","no","yes"
"399","no","no","no","no","no","no","no","no"
"400","no","no","no","no","no","no","no","no"
"401","no","no","no","no","yes","no","no","yes"
"402","no","no","yes","no","no","no","no","yes"
"403","no","no","yes","yes","yes","yes","yes","yes"
"404","no","no","no","no","no","no","no","no"
"405","no","no","yes","no","yes","no","no","yes"
"406","no","no","yes","yes","no","yes","yes","yes"
"407","no","no","yes","no","yes","no","no","yes"
"408","no","no","yes","no","yes","no","no","yes"
"409","no","no","no","no","no","no","no","no"
"410","no","no","yes","no","yes","no","no","yes"
"411","no","no","yes","no","yes","no","no","yes"
"412","no","no","yes","no","yes","no","no","no"
"413","no","no","no","no","no","no","no","yes"
"414","no","no","no","no","yes","no","no","yes"
"415","no","no","no","no","yes","no","no","no"
"416","no","no","no","no","no","no","no","no"
"417","no","no","no","no","yes","no","no","yes"
"418","no","no","yes","no","yes","no","no","yes"
"419","no","no","no","no","no","no","no","no"
"420","no","no","yes","no","no","no","yes","no"
"421","no","no","yes","no","no","no","no","no"
"422","no","no","yes","no","yes","no","no","yes"
"423","no","no","yes","no","yes","no","no","yes"
"424","no","no","yes","no","yes","no","no","no"
"425","no","no","no","no","no","no","no","no"
"426","no","no","yes","yes","yes","yes","yes","yes"
"427","no","no","yes","no","yes","no","no","yes"
"428","no","no","yes","no","no","no","no","no"
"429","no","no","no","no","no","no","yes","yes"
"430","no","no","no","no","no","no","no","no"
"431","no","no","yes","no","no","no","no","no"
"432","no","no","no","no","no","no","yes","no"
"433","no","no","no","no","no","no","no","no"
"434","no","no","no","no","no","no","no","no"
"435","no","no","yes","no","no","no","no","no"
"436","no","no","yes","no","no","no","no","no"
"437","no","no","no","no","yes","no","no","no"
"438","no","no","no","yes","no","yes","yes","yes"
"439","no","no","yes","no","no","no","no","no"
"440","no","no","no","no","no","no","no","no"
"441","no","no","yes","no","yes","no","no","yes"
"442","no","no","yes","no","no","no","no","no"
"443","no","no","no","no","no","no","no","no"
"444","no","no","no","no","yes","no","no","yes"
"445","no","no","no","no","no","no","no","no"
"446","no","no","no","no","no","no","no","no"
"447","no","no","no","no","yes","no","no","yes"
"448","no","no","yes","no","yes","no","no","yes"
"449","no","no","yes","no","no","no","no","no"
"450","no","no","yes","no","no","no","no","no"
"451","no","no","no","no","no","no","no","no"
"452","no","no","no","no","no","no","no","no"
"453","no","no","no","no","yes","no","no","no"
"454","no","no","yes","no","yes","no","no","yes"
"455","no","no","yes","no","yes","no","no","yes"
"456","no","no","no","no","yes","no","no","yes"
"457","no","no","no","no","yes","no","no","yes"
"458","no","no","no","no","no","no","no","no"
"459","no","no","yes","no","yes","no","no","yes"
"460","no","no","no","no","yes","no","no","yes"
"461","no","no","yes","no","yes","no","no","yes"
"462","no","no","yes","yes","yes","yes","yes","yes"
"463","no","no","no","no","yes","no","no","yes"
"464","no","no","yes","yes","no","yes","yes","yes"
"465","yes","no","yes","no","no","no","no","no"
"466","no","no","no","no","yes","no","no","yes"
"467","no","no","no","no","yes","no","no","yes"
"468","no","no","no","no","yes","no","no","yes"
"469","no","no","yes","no","yes","no","no","no"
"470","no","no","yes","no","yes","no","no","yes"
"471","no","no","yes","no","yes","no","no","no"
"472","no","no","yes","no","yes","no","no","no"
"473","no","no","no","no","no","no","no","no"
"474","no","no","yes","no","no","no","no","no"
"475","no","no","no","no","yes","no","no","no"
"476","no","no","no","no","yes","no","no","yes"
"477","no","no","yes","no","yes","no","no","yes"
"478","no","no","yes","no","no","no","no","no"
"479","no","no","no","no","no","no","no","no"
"480","no","no","yes","yes","yes","yes","yes","yes"
"481","no","no","no","no","no","no","no","no"
"482","no","no","no","no","yes","no","no","yes"
"483","no","no","no","no","yes","no","no","yes"
"484","no","no","no","no","no","no","no","no"
"485","no","no","yes","no","yes","no","yes","yes"
"486","no","no","no","no","no","no","no","yes"
"487","no","no","yes","yes","yes","yes","yes","yes"
"488","no","no","yes","no","yes","no","no","no"
"489","no","no","no","no","no","no","yes","no"
"490","no","no","yes","no","yes","no","no","no"
"491","no","no","yes","no","yes","no","no","yes"
"492","no","no","yes","no","no","no","no","no"
"493","no","no","yes","no","yes","no","no","yes"
"494","no","no","yes","no","no","no","yes","yes"
"495","yes","no","yes","no","yes","no","no","yes"
"496","no","no","yes","no","yes","no","no","yes"
"497","no","no","yes","no","no","no","no","no"
"498","no","no","no","no","no","no","no","no"
"499","no","no","no","no","no","no","no","no"
"500","no","no","no","no","no","no","no","no"
"501","no","no","no","no","no","no","no","yes"
"502","no","no","yes","no","no","no","no","no"
"503","no","no","no","no","no","no","no","no"
"504","no","no","yes","no","no","no","no","no"
"505","no","no","yes","no","yes","no","no","yes"
"506","no","no","yes","no","no","no","no","no"
"507","no","no","no","no","yes","no","no","yes"
"508","no","no","yes","no","yes","no","no","yes"
"509","no","no","no","no","yes","no","no","yes"
"510","no","no","yes","no","yes","no","no","yes"
"511","no","no","yes","no","no","no","yes","no"
"512","no","no","no","no","no","no","no","no"
"513","no","no","yes","no","no","no","no","no"
"514","no","no","no","no","no","no","no","no"
"515","no","no","no","no","no","no","no","no"
"516","no","no","yes","no","yes","no","no","yes"
"517","no","no","no","no","yes","no","no","yes"
"518","no","no","no","no","yes","no","no","yes"
"519","no","no","yes","yes","no","yes","yes","yes"
"520","no","no","no","no","yes","no","no","yes"
"521","no","no","no","no","no","no","no","no"
"522","no","no","yes","yes","yes","yes","yes","yes"
"523","no","no","yes","no","yes","no","no","yes"
"524","no","no","no","no","no","no","no","no"
"525","no","no","yes","no","no","no","no","no"
"526","no","no","yes","no","no","no","no","no"
"527","no","no","no","no","yes","no","no","yes"
"528","no","no","no","no","no","no","no","no"
"529","no","no","no","no","no","no","no","no"
"530","no","no","no","no","no","no","no","no"
"531","no","no","no","no","yes","no","no","yes"
"532","no","no","no","no","yes","no","no","no"
"533","no","no","no","no","yes","no","no","yes"
"534","no","no","no","no","no","no","no","no"
"535","no","no","yes","no","yes","no","no","no"
"536","no","no","yes","no","yes","no","no","yes"
"537","no","no","yes","no","no","no","no","no"
"538","no","no","yes","no","yes","no","no","yes"
"539","no","no","no","no","yes","no","no","yes"
"540","no","no","no","no","yes","no","no","yes"
"541","no","no","no","no","no","no","no","no"
"542","no","no","no","no","yes","no","no","yes"
"543","no","no","yes","no","no","no","yes","yes"
"544","no","no","yes","no","yes","no","no","yes"
"545","no","no","yes","no","no","no","no","yes"
"546","no","no","no","no","no","no","no","no"
"547","no","no","yes","no","no","no","no","no"
"548","no","no","yes","no","no","no","no","no"
"549","no","no","no","no","yes","no","no","yes"
"550","no","no","yes","yes","yes","yes","yes","yes"
"551","no","no","no","no","no","no","no","no"
"552","no","no","yes","no","yes","no","no","yes"
"553","no","no","yes","no","no","no","no","no"
"554","no","no","yes","no","yes","no","no","yes"
"555","no","no","no","no","no","no","no","no"
"556","no","no","yes","no","yes","no","no","yes"
"557","no","no","no","no","yes","no","no","yes"
"558","no","no","yes","no","yes","no","no","yes"
"559","no","no","no","no","no","no","no","no"
"560","no","no","yes","no","yes","no","yes","yes"
"561","no","no","yes","no","yes","no","no","yes"
"562","no","no","yes","no","yes","no","yes","yes"
"563","no","no","no","no","yes","no","no","yes"
"564","no","no","yes","no","yes","no","no","yes"
"565","no","no","yes","no","yes","no","no","yes"
"566","no","no","no","no","no","no","no","no"
"567","no","no","no","no","no","no","no","no"
"568","no","no","yes","no","yes","no","no","no"
"569","no","no","no","no","no","no","no","no"
"570","no","no","no","no","yes","no","no","no"
"571","no","yes","no","no","no","yes","yes","yes"
"572","no","no","no","no","no","no","no","no"
"573","no","no","no","yes","no","yes","yes","yes"
"574","no","no","no","no","yes","no","no","no"
"575","no","no","no","no","no","no","no","no"
"576","no","no","no","no","no","no","no","no"
"577","no","no","yes","no","no","no","no","no"
"578","no","no","no","no","no","no","no","no"
"579","no","no","no","no","yes","no","no","yes"
"580","no","no","no","no","yes","no","no","yes"
"581","no","no","yes","yes","yes","yes","yes","yes"
"582","no","no","no","no","no","no","no","no"
"583","no","no","no","no","no","no","no","no"
"584","no","no","yes","yes","no","yes","yes","yes"
"585","no","no","yes","no","no","no","no","no"
"586","no","no","no","no","no","no","no","yes"
"587","no","no","yes","no","yes","no","no","yes"
"588","no","no","no","no","yes","no","no","yes"
"589","no","no","yes","yes","yes","yes","yes","yes"
"590","no","no","yes","no","no","no","no","yes"
"591","no","no","no","no","no","no","no","no"
"592","no","no","yes","no","no","no","no","no"
"593","no","no","no","no","no","no","no","no"
"594","no","no","yes","no","yes","no","yes","yes"
"595","no","no","no","no","yes","no","no","yes"
"596","no","no","no","no","no","no","no","no"
"597","no","no","no","no","no","no","no","no"
"598","no","no","no","no","no","no","no","no"
"599","no","no","yes","no","yes","no","no","yes"
"600","no","no","no","no","no","no","no","no"
"601","no","no","yes","no","no","no","no","no"
"602","no","no","yes","no","yes","no","no","yes"
"603","no","no","no","no","yes","no","no","yes"
"604","no","no","yes","no","yes","no","no","yes"
"605","no","no","yes","no","yes","no","no","no"
"606","no","no","no","no","no","no","yes","no"
"607","no","no","no","no","no","no","no","no"
"608","no","no","yes","no","no","no","no","no"
"609","no","no","no","no","no","no","no","no"
"610","no","no","yes","no","no","no","no","no"
"611","no","no","no","no","no","no","no","no"
"612","no","no","yes","no","no","no","no","yes"
"613","no","no","no","no","no","no","no","yes"
"614","no","no","yes","no","yes","no","no","yes"
"615","no","no","yes","no","yes","no","no","no"
"616","no","no","yes","no","yes","no","no","no"
"617","no","no","yes","no","no","no","no","no"
"618","no","no","yes","no","no","no","no","no"
"619","no","no","yes","no","no","no","no","no"
"620","no","no","yes","no","yes","no","no","yes"
"621","no","no","yes","no","yes","no","no","yes"
"622","no","no","no","no","yes","no","no","yes"
"623","no","no","no","no","yes","no","no","no"
"624","no","no","no","no","no","no","no","no"
"625","no","no","no","no","yes","no","no","yes"
"626","no","no","no","no","no","no","no","no"
"627","no","no","no","no","yes","no","no","yes"
"628","no","no","no","no","no","no","no","no"
"629","no","no","yes","no","no","no","no","no"
"630","no","no","yes","no","no","no","no","no"
"631","no","no","no","no","yes","no","no","yes"
"632","no","no","yes","no","no","no","no","no"
"633","no","no","yes","no","no","no","no","no"
"634","no","no","no","no","yes","no","no","yes"
"635","no","no","yes","no","yes","no","no","yes"
"636","no","no","no","no","no","no","no","no"
"637","no","no","yes","yes","yes","yes","yes","yes"
"638","no","no","no","no","no","no","no","no"
"639","no","no","no","no","no","no","no","no"
"640","no","no","yes","no","yes","no","no","yes"
"641","no","no","no","no","yes","no","no","yes"
"642","no","no","no","no","no","no","no","no"
"643","no","no","yes","no","yes","no","no","yes"
"644","no","no","yes","no","no","no","no","no"
