"","GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"11","True","Adolescent","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"12","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"13","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Many"
"14","False","Adult","Middle","Normal","Current","Moderate","EggShell","Moderate","SportsCar","Poor","TwentyThou","True","SubStandard","False","HundredThou","False","TwentyThou","Secure","True","HundredThou","Thousand","True","Thousand","Fair","True","Thousand","Many"
"15","False","Adolescent","Middle","Normal","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Rural","True","HundredThou","HundredThou","True","HundredThou","Fair","False","Thousand","Many"
"16","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","Domino","False","Expert","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"17","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"18","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"19","False","Adult","Prole","Adventurous","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"20","False","Adolescent","Middle","Normal","Current","Severe","Tank","Severe","FamilySedan","Poor","TwentyThou","True","SubStandard","False","HundredThou","False","TwentyThou","Rural","False","Million","HundredThou","True","Thousand","Excellent","True","Thousand","Many"
"21","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"22","False","Adult","Middle","Cautious","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"23","False","Adolescent","Middle","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","HundredThou","HundredThou","True","Million","Poor","False","HundredThou","Many"
"24","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"25","False","Adult","UpperMiddle","Normal","Current","None","Football","None","Luxury","Excellent","FiftyThou","True","Expert","False","Thousand","False","FiftyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"26","False","Adult","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","FiftyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"27","False","Adult","UpperMiddle","Psychopath","Current","None","Football","None","Luxury","Poor","FiveThou","True","SubStandard","False","Thousand","False","FiftyThou","Suburb","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"28","False","Senior","UpperMiddle","Cautious","Current","None","EggShell","None","Luxury","Excellent","TwentyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"29","False","Adult","Middle","Adventurous","Older","None","Tank","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","False","Thousand","Good","False","Thousand","Zero"
"30","False","Senior","Middle","Normal","Current","Mild","EggShell","Mild","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","TenThou","Poor","True","Thousand","Many"
"31","False","Adolescent","Middle","Cautious","Older","None","Football","None","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"32","True","Adolescent","UpperMiddle","Normal","Current","None","EggShell","None","Luxury","Poor","TwentyThou","True","SubStandard","False","Thousand","False","FiftyThou","Suburb","False","Thousand","Thousand","False","Thousand","Poor","True","Thousand","One"
"33","False","Adolescent","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Many"
"34","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"35","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"36","False","Adult","UpperMiddle","Adventurous","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"37","False","Senior","Prole","Cautious","Older","Mild","EggShell","Mild","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"38","False","Adolescent","Middle","Normal","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","HundredThou","HundredThou","True","TenThou","Poor","False","Thousand","Many"
"39","False","Adult","UpperMiddle","Cautious","Current","None","Tank","None","Luxury","Poor","TwentyThou","True","SubStandard","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"40","False","Adult","Middle","Adventurous","Older","None","Tank","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"41","False","Senior","Prole","Cautious","Current","None","Football","None","Economy","Normal","TwentyThou","False","Normal","True","Thousand","False","TenThou","City","True","TenThou","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"42","False","Adolescent","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiveThou","False","Expert","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"43","False","Adult","UpperMiddle","Normal","Current","None","Football","None","Luxury","Excellent","FiftyThou","True","Expert","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"44","False","Senior","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","TwentyThou","False","Expert","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"45","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Secure","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"46","False","Adult","UpperMiddle","Adventurous","Current","Severe","Football","Severe","FamilySedan","Poor","Domino","False","SubStandard","False","HundredThou","False","TwentyThou","Suburb","False","HundredThou","HundredThou","True","Thousand","Excellent","True","Thousand","Many"
"47","False","Senior","Prole","Cautious","Older","Moderate","EggShell","Moderate","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","City","True","HundredThou","HundredThou","False","HundredThou","Fair","False","Thousand","Many"
"48","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"49","False","Adult","Middle","Normal","Older","Mild","Tank","Mild","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"50","False","Adult","Middle","Cautious","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"51","False","Adult","Middle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"52","True","Adolescent","UpperMiddle","Adventurous","Current","None","Football","None","FamilySedan","Excellent","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"53","False","Adult","Prole","Adventurous","Older","Mild","EggShell","Mild","Economy","Poor","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","HundredThou","Poor","False","Thousand","Many"
"54","False","Adult","UpperMiddle","Adventurous","Current","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"55","False","Adolescent","Prole","Adventurous","Current","None","EggShell","None","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Fair","True","Thousand","Many"
"56","False","Adult","Prole","Adventurous","Current","None","Football","None","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"57","False","Adult","Prole","Adventurous","Older","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Many"
"58","False","Adult","Middle","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"59","False","Adolescent","Middle","Adventurous","Current","None","Football","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","Suburb","False","TenThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"60","False","Senior","Prole","Cautious","Older","None","Football","None","Economy","Excellent","FiftyThou","False","Normal","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Good","False","Thousand","Zero"
"61","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","Luxury","Excellent","FiftyThou","True","Expert","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"62","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","False","Thousand","Fair","True","Thousand","Zero"
"63","True","Adolescent","UpperMiddle","Adventurous","Older","None","Football","None","Luxury","Normal","Domino","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"64","False","Adult","Prole","Normal","Older","Moderate","Tank","Moderate","FamilySedan","Normal","TwentyThou","False","Normal","False","TenThou","False","TenThou","Rural","False","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Zero"
"65","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Many"
"66","False","Senior","Prole","Cautious","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"67","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"68","False","Adult","Prole","Normal","Older","Severe","EggShell","Moderate","Economy","Normal","TwentyThou","False","Normal","False","TenThou","False","TenThou","City","False","TenThou","Thousand","True","TenThou","Fair","False","TenThou","Zero"
"69","False","Adult","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiveThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"70","False","Adult","Prole","Cautious","Older","Mild","Football","Mild","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","City","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"71","False","Adult","Middle","Cautious","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","TenThou","Thousand","False","Thousand","Good","False","Thousand","Zero"
"72","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"73","False","Adult","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"74","False","Adult","Middle","Adventurous","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"75","False","Adult","Middle","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"76","False","Senior","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Normal","True","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"77","False","Adult","Middle","Cautious","Older","Mild","Tank","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","True","HundredThou","HundredThou","False","Thousand","Good","False","Thousand","Many"
"78","False","Senior","Prole","Cautious","Current","None","EggShell","None","Economy","Excellent","TwentyThou","False","Normal","True","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"79","False","Senior","UpperMiddle","Cautious","Current","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"80","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"81","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Excellent","Domino","False","Expert","True","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"82","False","Adolescent","Middle","Normal","Current","None","Football","None","FamilySedan","Excellent","Domino","False","Expert","False","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"83","False","Adolescent","Prole","Adventurous","Older","None","Tank","None","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"84","False","Senior","Prole","Normal","Older","Severe","EggShell","Severe","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","One"
"85","False","Adult","Prole","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","False","HundredThou","Poor","False","HundredThou","Many"
"86","False","Adolescent","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"87","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"88","False","Senior","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"89","False","Senior","Middle","Cautious","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","True","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"90","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"91","False","Adult","Middle","Cautious","Current","None","EggShell","None","SportsCar","Excellent","FiftyThou","True","Expert","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"92","False","Adult","UpperMiddle","Cautious","Older","None","Football","None","Luxury","Excellent","FiftyThou","True","Expert","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","False","Thousand","Zero"
"93","False","Adult","Middle","Cautious","Older","None","EggShell","None","SportsCar","Excellent","Domino","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"94","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"95","False","Senior","Prole","Cautious","Older","Moderate","EggShell","Moderate","Economy","Poor","TwentyThou","False","SubStandard","True","Thousand","False","FiveThou","City","True","TenThou","TenThou","False","HundredThou","Poor","False","Thousand","Zero"
"96","True","Adolescent","UpperMiddle","Adventurous","Current","None","Football","None","FamilySedan","Excellent","FiveThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"97","False","Adult","Prole","Normal","Current","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"98","False","Adult","Prole","Normal","Current","Severe","EggShell","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","Thousand","False","Thousand","Good","True","Thousand","Many"
"99","False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"100","False","Senior","Prole","Psychopath","Older","Severe","EggShell","Severe","SportsCar","Poor","Domino","False","Normal","False","TenThou","False","FiveThou","City","False","Million","HundredThou","True","TenThou","Poor","False","Thousand","Many"
"101","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"102","True","Adolescent","Prole","Psychopath","Older","Severe","EggShell","Moderate","Economy","Poor","FiftyThou","False","Normal","False","TenThou","False","FiveThou","Rural","False","HundredThou","TenThou","False","Thousand","Poor","False","Thousand","Many"
"103","False","Adult","UpperMiddle","Cautious","Older","None","Tank","None","FamilySedan","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Zero"
"104","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiveThou","False","Normal","False","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"105","False","Senior","Middle","Cautious","Older","None","EggShell","None","SportsCar","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","Secure","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"106","False","Adolescent","Prole","Normal","Current","Severe","Football","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","City","True","HundredThou","TenThou","False","Thousand","Excellent","True","TenThou","Many"
"107","False","Adult","Wealthy","Cautious","Current","None","EggShell","None","SportsCar","Excellent","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"108","False","Adolescent","Middle","Normal","Current","Mild","EggShell","Mild","FamilySedan","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
"109","False","Adult","UpperMiddle","Cautious","Current","Mild","Football","Mild","Luxury","Poor","TwentyThou","True","SubStandard","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"110","False","Adult","Prole","Adventurous","Older","Severe","EggShell","Severe","SportsCar","Poor","TwentyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","HundredThou","HundredThou","False","Million","Poor","False","Thousand","Many"
"111","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"112","False","Senior","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"113","False","Adult","UpperMiddle","Adventurous","Current","None","EggShell","None","FamilySedan","Excellent","TwentyThou","True","Expert","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"114","False","Senior","UpperMiddle","Normal","Current","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Rural","True","Million","HundredThou","True","Thousand","Excellent","True","Thousand","Many"
"115","False","Adult","Prole","Normal","Older","Severe","EggShell","Moderate","Economy","Normal","TwentyThou","False","Normal","False","TenThou","False","FiveThou","Suburb","False","TenThou","Thousand","False","TenThou","Fair","False","Thousand","Zero"
"116","False","Adolescent","Prole","Adventurous","Current","None","EggShell","None","Economy","Excellent","Domino","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"117","False","Adolescent","Prole","Normal","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","TenThou","Rural","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"118","False","Adult","Middle","Normal","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"119","False","Adult","Prole","Adventurous","Current","None","Football","None","Economy","Excellent","Domino","False","Expert","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"120","False","Senior","Prole","Cautious","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","False","Normal","True","Thousand","False","TwentyThou","Rural","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"121","False","Senior","Prole","Normal","Current","None","Football","None","Economy","Normal","TwentyThou","False","Normal","True","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"122","False","Adolescent","Middle","Adventurous","Older","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","HundredThou","HundredThou","False","Thousand","Good","False","Thousand","Many"
"123","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"124","False","Adult","UpperMiddle","Adventurous","Older","None","Tank","None","FamilySedan","Poor","FiveThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"125","False","Adult","UpperMiddle","Normal","Current","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","Secure","False","HundredThou","HundredThou","True","Thousand","Excellent","True","Thousand","Many"
"126","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"127","False","Adult","Middle","Normal","Older","Mild","Football","Moderate","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","Suburb","True","HundredThou","HundredThou","True","Thousand","Good","False","Thousand","Many"
