"","A","S","E","O","R","T"
"66","adult","M","high","emp","big","car"
"67","adult","M","high","emp","big","train"
"68","old","F","high","emp","big","car"
"69","young","F","high","emp","small","car"
"70","young","F","high","emp","small","train"
"71","young","M","high","emp","small","car"
"72","young","F","high","emp","big","car"
"73","adult","M","high","emp","big","train"
"74","adult","M","high","emp","small","car"
"75","old","F","high","emp","small","train"
"76","adult","M","high","emp","big","car"
"77","adult","M","high","emp","big","train"
"78","young","F","high","emp","big","car"
"79","adult","M","uni","emp","big","car"
"80","young","F","high","emp","big","car"
"81","adult","M","uni","emp","big","car"
"82","young","F","uni","emp","big","other"
"83","young","M","uni","emp","big","car"
"84","adult","F","high","emp","small","train"
"85","old","M","high","emp","big","car"
"86","adult","F","uni","emp","big","car"
"87","young","M","uni","emp","small","car"
"88","young","F","high","emp","big","car"
"89","adult","M","high","emp","big","train"
"90","adult","M","high","emp","big","other"
"91","adult","M","high","emp","big","train"
"92","young","F","uni","emp","big","car"
"93","old","M","high","emp","big","car"
"94","young","M","uni","self","big","car"
"95","old","F","high","emp","big","car"
"96","adult","M","uni","emp","big","train"
"97","young","M","high","emp","big","car"
"98","adult","M","high","emp","big","train"
"99","adult","F","uni","emp","big","other"
"100","young","F","uni","emp","big","car"
"101","adult","M","high","emp","big","car"
"102","old","F","high","emp","big","train"
"103","old","M","high","emp","big","train"
"104","adult","F","high","emp","big","car"
"105","adult","F","high","emp","big","car"
"106","adult","F","uni","emp","small","other"
"107","adult","F","high","emp","big","car"
"108","young","M","high","emp","small","car"
"109","adult","M","high","emp","small","car"
"110","young","F","high","emp","small","other"
"111","young","M","uni","emp","big","train"
"112","young","M","uni","emp","small","train"
"113","adult","M","uni","emp","big","car"
"114","old","M","uni","emp","big","car"
"115","adult","F","high","emp","big","other"
"116","adult","M","high","emp","big","car"
"117","old","F","high","emp","small","train"
"118","adult","M","uni","emp","small","train"
"119","young","M","high","emp","big","car"
"120","young","M","high","emp","big","car"
"121","adult","F","uni","emp","small","car"
"122","adult","F","high","emp","big","car"
"123","adult","M","high","emp","big","car"
"124","adult","F","high","emp","big","car"
"125","old","M","high","emp","big","car"
"126","old","M","uni","emp","small","other"
"127","young","M","uni","emp","big","car"
"128","young","F","uni","emp","big","train"
"129","young","M","high","emp","big","car"
"130","adult","M","high","emp","small","train"
"131","adult","M","high","emp","small","other"
"132","adult","F","uni","self","big","car"
"133","young","M","high","emp","big","car"
"134","young","M","high","emp","big","car"
"135","young","F","high","emp","big","other"
"136","adult","M","high","emp","big","car"
"137","adult","M","high","emp","big","car"
"138","young","M","uni","emp","big","car"
"139","young","F","high","emp","small","train"
"140","adult","M","high","emp","small","other"
"141","young","M","uni","emp","big","car"
"142","young","M","high","emp","big","car"
"143","old","M","high","emp","big","train"
"144","adult","M","uni","emp","big","train"
"145","young","F","high","emp","big","car"
"146","adult","F","uni","emp","big","car"
"147","adult","M","uni","emp","big","car"
"148","old","F","high","emp","big","train"
"149","adult","F","high","emp","big","car"
"150","adult","M","uni","emp","small","car"
"151","adult","F","high","emp","big","car"
"152","young","F","high","emp","big","car"
"153","old","M","uni","emp","big","car"
"154","adult","M","high","self","small","train"
"155","adult","M","high","emp","big","train"
"156","young","M","high","emp","big","car"
"157","adult","M","high","emp","small","car"
"158","young","F","uni","emp","big","train"
"159","young","M","uni","emp","big","car"
"160","adult","M","uni","emp","big","car"
"161","adult","M","high","emp","small","train"
"162","adult","F","uni","emp","big","car"
"163","adult","M","uni","emp","big","train"
"164","old","F","uni","emp","big","car"
"165","young","M","uni","emp","big","car"
"166","adult","F","high","emp","big","car"
"167","adult","F","uni","emp","big","car"
"168","young","F","high","emp","small","car"
"169","old","F","high","emp","big","car"
"170","adult","F","high","emp","big","car"
"171","adult","F","uni","emp","big","car"
"172","adult","F","high","emp","big","train"
"173","old","F","high","emp","big","train"
"174","old","F","high","emp","big","car"
"175","young","M","uni","emp","big","car"
"176","adult","M","high","emp","small","train"
"177","adult","F","high","emp","small","other"
"178","young","F","uni","emp","big","train"
"179","adult","F","high","emp","big","car"
"180","young","M","high","emp","big","car"
"181","young","F","high","emp","big","other"
"182","young","M","high","emp","big","car"
"183","young","M","high","emp","big","other"
"184","adult","M","high","emp","big","train"
"185","young","F","high","emp","big","car"
"186","old","M","uni","emp","big","other"
"187","young","M","uni","emp","small","other"
"188","young","F","high","emp","big","car"
"189","young","M","uni","emp","big","other"
"190","adult","M","high","emp","small","car"
"191","young","M","high","emp","big","car"
"192","adult","F","uni","self","big","car"
"193","adult","F","uni","emp","big","car"
"194","old","M","high","emp","big","train"
"195","adult","F","high","emp","big","car"
"196","adult","F","high","emp","small","car"
"197","adult","M","high","emp","big","train"
"198","old","M","high","emp","big","car"
"199","adult","M","high","emp","big","train"
"200","young","M","high","emp","big","other"
"201","old","M","high","emp","big","car"
"202","adult","M","uni","emp","big","car"
"203","adult","F","high","emp","big","train"
"204","adult","M","high","emp","big","car"
"205","adult","F","high","emp","small","car"
"206","adult","F","high","emp","big","car"
"207","adult","F","uni","emp","big","car"
"208","adult","F","uni","emp","big","car"
"209","young","F","high","emp","big","train"
"210","old","M","high","emp","small","train"
"211","adult","F","high","emp","big","car"
"212","adult","M","high","emp","big","car"
"213","young","F","high","emp","big","train"
"214","old","F","high","emp","big","other"
"215","adult","M","high","emp","big","car"
"216","old","M","high","emp","small","car"
"217","young","M","high","emp","big","car"
"218","adult","F","uni","emp","big","car"
"219","adult","M","high","emp","small","train"
"220","adult","F","high","emp","small","train"
"221","adult","M","high","self","big","car"
"222","adult","F","uni","emp","big","car"
"223","young","F","high","emp","big","car"
"224","adult","F","high","emp","big","train"
"225","adult","M","high","emp","big","train"
"226","old","F","high","emp","big","car"
"227","young","M","uni","emp","big","car"
"228","adult","F","high","emp","small","train"
"229","young","M","high","emp","big","car"
"230","young","M","high","emp","small","train"
"231","adult","M","uni","emp","big","car"
"232","young","F","high","emp","big","other"
"233","adult","M","high","emp","big","car"
"234","adult","M","high","emp","big","car"
"235","adult","F","uni","emp","big","other"
"236","young","M","high","emp","big","other"
"237","adult","M","uni","emp","big","car"
"238","young","M","high","emp","small","train"
"239","young","M","high","emp","small","car"
"240","adult","F","high","emp","big","other"
"241","young","F","uni","emp","big","car"
"242","young","F","high","emp","big","car"
"243","adult","M","high","emp","big","car"
"244","adult","M","high","emp","big","car"
"245","young","M","high","emp","big","car"
"246","adult","M","high","emp","big","car"
"247","adult","M","high","self","big","car"
"248","old","M","high","emp","big","car"
"249","adult","M","uni","emp","big","car"
"250","adult","F","high","emp","big","train"
"251","young","F","high","emp","big","car"
"252","adult","F","high","self","big","train"
"253","adult","M","uni","emp","big","car"
"254","adult","M","uni","emp","small","train"
"255","adult","M","high","emp","big","train"
"256","adult","F","high","emp","big","train"
"257","young","M","high","emp","big","car"
"258","adult","M","uni","emp","big","train"
"259","adult","F","uni","emp","big","train"
"260","adult","M","high","emp","big","other"
"261","adult","F","high","emp","big","car"
"262","young","M","uni","emp","big","train"
"263","adult","F","uni","emp","big","car"
"264","young","F","high","emp","big","other"
"265","adult","F","uni","emp","big","train"
"266","young","F","high","emp","big","car"
"267","old","M","uni","emp","big","car"
"268","old","F","high","emp","big","car"
"269","adult","F","high","emp","big","car"
"270","adult","M","high","emp","small","other"
"271","young","F","uni","emp","big","car"
"272","adult","F","high","emp","big","train"
"273","old","M","uni","emp","big","car"
"274","adult","M","high","emp","small","train"
"275","adult","M","high","emp","small","car"
"276","adult","M","high","emp","big","car"
"277","young","M","uni","emp","big","car"
"278","young","F","high","emp","small","car"
"279","adult","F","high","emp","big","car"
"280","adult","F","uni","emp","big","car"
"281","adult","M","high","emp","big","car"
"282","old","F","high","emp","big","train"
"283","adult","F","high","emp","small","car"
"284","adult","M","high","emp","big","car"
"285","young","F","high","emp","big","car"
"286","adult","M","high","emp","big","car"
"287","young","F","high","emp","big","train"
"288","adult","M","high","emp","big","train"
"289","old","F","high","emp","small","train"
"290","adult","M","high","emp","big","car"
"291","adult","M","high","emp","big","car"
"292","adult","M","uni","emp","big","car"
"293","adult","M","high","emp","small","train"
"294","young","M","high","emp","big","car"
"295","adult","M","high","emp","big","car"
"296","young","F","high","emp","small","car"
"297","adult","F","high","emp","big","car"
"298","adult","F","high","emp","big","train"
"299","young","M","high","emp","big","car"
"300","adult","M","high","emp","big","other"
"301","adult","M","high","emp","small","car"
"302","adult","M","uni","self","big","car"
"303","adult","M","high","emp","small","train"
"304","old","M","high","emp","small","car"
"305","adult","F","high","emp","big","train"
"306","old","M","uni","emp","big","train"
"307","adult","F","high","emp","big","car"
"308","old","F","high","emp","big","car"
"309","adult","F","high","emp","big","car"
"310","old","F","high","emp","small","other"
"311","young","M","high","emp","big","train"
"312","old","F","high","emp","small","train"
"313","young","F","uni","emp","big","car"
"314","adult","M","uni","emp","big","car"
"315","young","F","high","emp","big","train"
"316","adult","M","uni","emp","big","car"
"317","old","M","high","emp","big","car"
"318","young","M","high","emp","big","train"
"319","young","M","uni","emp","big","car"
"320","adult","M","uni","emp","small","train"
"321","young","F","high","emp","big","car"
"322","young","M","high","emp","big","car"
"323","adult","M","high","emp","big","train"
"324","adult","F","uni","emp","big","car"
"325","adult","F","high","emp","big","other"
"326","young","M","high","emp","big","car"
"327","old","M","high","emp","big","car"
"328","adult","M","uni","emp","big","other"
"329","adult","F","high","emp","small","train"
"330","young","F","high","emp","big","car"
"331","old","F","high","emp","big","car"
"332","old","F","high","emp","big","other"
"333","old","M","high","emp","big","car"
"334","young","F","high","emp","small","train"
"335","old","M","high","emp","big","car"
"336","young","F","high","emp","big","car"
"337","adult","F","high","emp","small","other"
"338","adult","M","uni","emp","big","car"
"339","young","M","high","emp","small","train"
"340","adult","M","high","emp","big","car"
"341","young","F","high","emp","big","other"
"342","adult","F","high","emp","big","car"
"343","adult","M","high","emp","small","train"
"344","adult","F","uni","emp","big","car"
"345","young","M","high","emp","big","other"
"346","adult","F","high","emp","big","car"
"347","adult","M","high","emp","big","train"
"348","old","F","high","emp","big","car"
"349","adult","F","high","emp","big","train"
"350","adult","M","uni","self","small","car"
"351","young","M","uni","emp","small","car"
"352","young","M","high","emp","big","car"
"353","old","M","uni","emp","big","car"
"354","adult","M","high","emp","big","train"
"355","young","M","high","emp","small","car"
"356","old","M","high","emp","big","other"
"357","young","F","high","emp","small","car"
"358","adult","M","uni","emp","big","other"
"359","old","F","high","emp","big","car"
"360","adult","M","high","emp","small","car"
"361","adult","M","high","emp","big","car"
"362","old","F","high","emp","big","train"
"363","young","F","high","emp","big","train"
"364","young","F","high","emp","big","other"
"365","old","M","high","emp","big","car"
"366","adult","M","high","emp","big","train"
"367","adult","M","uni","emp","big","car"
"368","old","M","high","emp","big","train"
"369","young","F","high","self","small","train"
"370","young","M","high","emp","big","train"
"371","adult","F","high","emp","big","car"
"372","young","M","high","emp","small","train"
"373","adult","F","high","emp","big","car"
"374","adult","F","high","emp","big","car"
"375","young","F","high","emp","big","car"
"376","young","M","high","emp","big","train"
"377","young","M","high","emp","big","car"
"378","young","M","high","self","small","car"
"379","adult","M","uni","emp","small","car"
"380","adult","M","high","emp","small","other"
"381","adult","M","uni","self","big","train"
"382","old","F","high","emp","big","car"
"383","adult","F","uni","emp","big","other"
"384","young","M","high","emp","big","train"
"385","adult","M","high","emp","big","car"
"386","adult","M","high","emp","big","other"
"387","young","M","high","emp","small","car"
"388","old","M","high","emp","big","car"
"389","adult","M","uni","emp","small","train"
"390","young","M","high","emp","big","car"
"391","adult","M","high","emp","small","train"
"392","old","F","high","emp","small","train"
"393","adult","M","high","emp","big","train"
"394","old","M","high","emp","big","car"
"395","old","M","high","emp","big","car"
"396","young","M","high","emp","big","car"
"397","adult","F","high","emp","big","other"
"398","adult","M","high","emp","big","other"
"399","adult","M","uni","emp","big","car"
"400","adult","M","high","emp","small","train"
"401","adult","F","high","emp","big","car"
"402","adult","M","high","emp","big","car"
"403","young","M","high","emp","big","car"
"404","adult","F","uni","emp","big","other"
"405","old","M","high","self","small","train"
"406","adult","F","uni","emp","big","car"
"407","young","M","high","emp","big","train"
"408","adult","F","high","self","big","car"
"409","adult","M","uni","emp","big","other"
"410","adult","F","high","emp","big","car"
"411","old","M","high","emp","small","car"
"412","adult","F","uni","emp","small","car"
"413","old","F","high","emp","big","car"
"414","old","M","high","emp","small","train"
"415","adult","F","uni","emp","big","car"
"416","old","M","high","emp","big","train"
"417","young","M","uni","emp","big","car"
"418","old","M","high","emp","small","train"
"419","adult","M","uni","emp","big","train"
"420","old","F","high","emp","big","train"
"421","adult","F","high","emp","big","car"
"422","adult","M","high","emp","big","car"
"423","old","F","high","emp","big","train"
"424","adult","M","uni","emp","big","car"
"425","adult","M","uni","emp","big","train"
"426","young","F","uni","emp","big","car"
"427","old","M","high","emp","big","car"
"428","adult","M","high","emp","big","other"
"429","adult","F","high","emp","big","car"
"430","adult","M","high","emp","small","car"
"431","young","M","high","self","big","car"
"432","old","F","uni","emp","big","other"
"433","young","M","uni","emp","small","train"
"434","old","M","high","self","big","car"
"435","adult","F","uni","emp","big","car"
"436","young","M","high","emp","small","train"
"437","young","F","high","emp","big","car"
"438","old","M","high","emp","small","train"
"439","adult","M","high","emp","small","car"
"440","young","F","uni","emp","big","car"
"441","young","M","uni","emp","big","other"
"442","adult","F","uni","self","big","car"
"443","adult","M","high","emp","small","car"
"444","adult","F","high","emp","small","car"
"445","young","M","high","emp","small","train"
"446","adult","M","high","emp","big","car"
"447","old","M","high","emp","big","train"
"448","young","M","high","emp","small","train"
"449","adult","M","high","emp","big","other"
"450","young","M","high","emp","big","train"
"451","young","F","high","emp","big","car"
"452","old","F","high","emp","big","other"
"453","young","F","uni","self","small","car"
"454","old","M","uni","emp","big","car"
"455","young","M","uni","emp","big","car"
"456","adult","M","uni","emp","big","car"
"457","adult","F","high","emp","big","car"
"458","adult","F","high","emp","big","train"
"459","young","F","uni","emp","big","car"
"460","adult","F","high","emp","small","train"
"461","adult","F","uni","emp","big","other"
"462","adult","F","high","emp","big","car"
"463","adult","M","high","emp","small","train"
"464","young","M","high","emp","big","train"
"465","adult","F","high","emp","small","car"
"466","adult","F","high","emp","big","car"
"467","adult","F","high","emp","big","car"
"468","young","M","high","emp","small","train"
"469","adult","F","high","emp","big","car"
"470","old","M","high","emp","big","train"
"471","adult","F","high","emp","big","train"
"472","adult","M","high","emp","big","car"
"473","old","M","high","emp","big","car"
"474","old","M","high","emp","big","train"
"475","young","M","high","emp","big","other"
"476","adult","F","high","emp","big","other"
"477","adult","M","high","emp","small","train"
"478","adult","F","high","self","big","car"
"479","old","M","high","emp","small","train"
"480","old","M","high","emp","big","other"
"481","young","F","uni","emp","big","other"
"482","adult","M","high","emp","small","train"
"483","young","M","high","emp","big","car"
"484","adult","F","high","emp","big","car"
"485","adult","F","high","emp","big","other"
"486","young","M","uni","emp","big","car"
"487","old","F","high","emp","big","car"
"488","adult","F","high","emp","small","train"
"489","old","M","high","emp","small","car"
"490","adult","F","uni","emp","big","car"
"491","adult","F","high","emp","big","car"
"492","adult","M","uni","self","big","other"
"493","adult","M","uni","emp","big","car"
"494","adult","M","high","emp","big","car"
"495","old","M","high","emp","small","train"
"496","adult","M","high","emp","big","car"
"497","old","F","high","emp","big","other"
"498","young","M","high","emp","big","train"
"499","adult","M","high","emp","big","car"
"500","adult","F","high","emp","big","car"
"501","young","M","high","emp","small","car"
"502","adult","M","high","emp","small","train"
"503","young","M","high","emp","big","other"
"504","adult","M","high","emp","small","car"
"505","young","M","uni","emp","small","train"
"506","old","F","high","emp","big","car"
"507","old","F","uni","emp","big","car"
"508","adult","F","high","emp","big","car"
"509","adult","M","uni","emp","small","train"
"510","adult","F","uni","emp","big","train"
"511","adult","F","high","emp","small","train"
"512","young","M","high","emp","big","car"
"513","old","F","high","emp","big","other"
"514","young","M","uni","emp","small","train"
"515","old","F","high","emp","small","car"
"516","old","F","high","emp","big","car"
"517","adult","M","high","emp","big","car"
"518","young","M","uni","emp","big","car"
"519","young","F","high","emp","big","train"
"520","adult","F","high","emp","small","car"
"521","adult","F","uni","emp","big","train"
"522","adult","M","high","emp","small","other"
"523","young","M","uni","emp","big","car"
"524","old","F","high","emp","small","car"
"525","young","F","high","emp","big","other"
"526","adult","F","high","emp","big","car"
"527","adult","M","uni","emp","big","other"
"528","young","M","high","emp","big","train"
"529","adult","M","high","emp","big","car"
"530","adult","F","high","emp","small","other"
"531","young","F","high","emp","big","other"
"532","adult","M","high","emp","big","other"
"533","young","F","uni","emp","big","car"
"534","young","M","high","emp","big","train"
"535","old","F","high","emp","big","train"
"536","young","M","high","emp","big","car"
"537","young","F","high","emp","big","train"
"538","adult","M","uni","emp","big","car"
"539","old","F","high","emp","big","other"
"540","old","F","high","emp","big","other"
"541","young","F","high","emp","small","train"
"542","adult","F","uni","self","big","car"
"543","adult","F","high","emp","small","train"
"544","old","F","high","emp","big","other"
"545","adult","M","high","emp","small","car"
"546","old","M","high","emp","big","car"
"547","adult","M","uni","emp","big","other"
"548","young","M","uni","emp","big","train"
"549","old","F","uni","emp","big","car"
"550","adult","M","uni","emp","small","other"
"551","young","F","high","emp","small","car"
"552","adult","F","high","emp","big","other"
"553","adult","M","uni","emp","big","car"
"554","adult","M","uni","emp","big","other"
"555","young","M","uni","emp","big","car"
"556","adult","M","high","emp","big","other"
"557","young","F","high","emp","small","car"
"558","adult","F","high","emp","big","car"
"559","adult","M","high","emp","big","other"
"560","adult","M","high","emp","big","car"
"561","old","F","high","emp","small","car"
"562","adult","F","high","emp","big","other"
"563","young","M","high","emp","big","car"
"564","old","F","high","emp","small","car"
"565","adult","F","uni","emp","small","car"
"566","old","M","high","emp","big","car"
"567","young","M","high","emp","big","car"
"568","adult","M","high","emp","big","car"
"569","old","M","high","emp","big","train"
"570","young","M","high","emp","big","train"
"571","adult","M","high","emp","big","car"
"572","adult","M","high","emp","big","train"
"573","adult","M","high","emp","big","other"
"574","adult","M","high","emp","big","train"
"575","young","M","high","emp","big","train"
"576","adult","F","uni","emp","big","train"
"577","adult","M","high","emp","big","car"
"578","adult","M","uni","emp","big","train"
"579","young","F","uni","emp","small","car"
"580","old","M","high","emp","small","train"
"581","young","M","high","emp","big","train"
"582","young","M","high","emp","big","car"
"583","old","M","high","emp","small","train"
"584","old","F","high","emp","big","train"
"585","adult","F","high","emp","big","train"
"586","adult","M","uni","emp","small","car"
"587","young","F","high","emp","small","car"
"588","adult","M","high","emp","big","car"
"589","adult","M","uni","emp","big","other"
"590","old","F","high","emp","big","car"
"591","adult","F","high","emp","big","car"
"592","old","F","high","emp","big","other"
"593","adult","F","high","emp","big","train"
"594","young","F","uni","self","small","car"
"595","adult","M","uni","emp","small","car"
"596","old","F","high","emp","big","car"
"597","adult","M","high","emp","big","car"
"598","adult","M","high","emp","big","car"
"599","young","M","high","emp","big","train"
"600","young","M","high","emp","small","car"
"601","young","M","uni","emp","big","train"
"602","young","M","high","emp","big","car"
"603","adult","M","uni","self","small","train"
"604","adult","M","high","emp","small","car"
"605","adult","F","uni","emp","small","car"
"606","young","M","high","emp","big","car"
"607","young","M","uni","emp","big","train"
"608","young","M","high","emp","big","car"
"609","adult","M","high","emp","big","other"
"610","old","F","high","emp","big","car"
"611","young","F","uni","emp","big","car"
"612","young","M","high","emp","small","train"
"613","adult","M","high","emp","big","train"
"614","adult","F","high","emp","big","car"
"615","young","M","high","emp","big","train"
"616","young","F","uni","emp","big","car"
"617","adult","M","high","emp","small","car"
"618","adult","F","uni","emp","big","car"
"619","adult","M","high","emp","big","car"
"620","adult","F","high","emp","big","other"
"621","adult","F","high","emp","small","car"
"622","young","M","high","emp","small","other"
"623","adult","M","uni","emp","small","car"
"624","old","F","high","emp","big","car"
"625","old","F","high","emp","small","other"
"626","old","M","high","emp","big","train"
"627","old","M","high","emp","big","car"
"628","adult","M","uni","self","small","train"
"629","adult","M","uni","emp","big","other"
"630","adult","F","high","emp","big","car"
"631","old","M","high","emp","big","train"
"632","young","M","high","emp","big","train"
"633","young","M","high","emp","big","train"
"634","adult","F","high","emp","big","car"
"635","adult","M","uni","emp","big","car"
"636","adult","F","high","emp","big","train"
"637","adult","M","high","emp","small","train"
"638","adult","M","high","emp","big","car"
"639","adult","M","high","emp","big","other"
"640","young","M","high","emp","big","other"
"641","adult","F","high","emp","big","train"
"642","adult","M","high","emp","small","other"
"643","old","M","high","emp","big","other"
"644","adult","F","high","emp","big","car"
"645","adult","F","high","emp","big","other"
"646","young","M","high","emp","big","car"
"647","young","M","uni","emp","big","car"
"648","adult","F","uni","emp","big","train"
"649","adult","M","high","emp","small","car"
"650","adult","F","uni","emp","big","car"
"651","old","F","high","emp","big","train"
"652","adult","F","high","emp","big","car"
"653","adult","M","uni","emp","big","train"
"654","young","F","uni","emp","big","train"
"655","adult","M","high","emp","big","other"
"656","old","F","high","emp","big","other"
"657","young","F","uni","emp","big","other"
"658","young","F","uni","emp","big","car"
"659","adult","M","high","emp","big","car"
"660","old","M","high","emp","big","other"
"661","old","F","high","emp","big","car"
"662","young","M","high","emp","big","car"
"663","adult","M","high","emp","small","train"
"664","adult","M","uni","emp","big","car"
"665","adult","F","uni","emp","big","car"
"666","adult","F","high","emp","big","car"
"667","adult","M","uni","emp","small","car"
"668","old","M","high","emp","small","train"
"669","adult","M","high","emp","small","car"
"670","adult","M","high","emp","small","train"
"671","adult","M","high","emp","big","train"
"672","old","M","high","emp","small","car"
"673","adult","F","high","emp","small","car"
"674","old","M","uni","emp","big","train"
"675","adult","M","uni","emp","big","train"
"676","young","M","uni","emp","big","other"
"677","young","M","uni","emp","small","train"
"678","young","M","high","emp","big","train"
"679","adult","M","high","emp","small","train"
"680","adult","F","high","emp","big","car"
"681","old","F","high","emp","big","car"
"682","adult","F","uni","self","big","other"
"683","young","M","uni","emp","big","car"
"684","adult","F","high","emp","small","car"
"685","adult","F","high","self","small","train"
"686","young","M","high","emp","small","car"
"687","old","M","high","emp","small","car"
"688","old","M","high","emp","big","other"
"689","young","M","high","emp","big","car"
"690","adult","M","high","emp","big","car"
"691","old","M","high","emp","big","car"
"692","adult","M","high","emp","small","train"
"693","old","M","high","emp","big","other"
"694","adult","M","high","emp","big","other"
"695","young","M","high","emp","small","train"
"696","young","M","high","emp","big","car"
"697","young","F","high","emp","small","train"
"698","adult","M","uni","emp","big","train"
"699","young","M","uni","self","big","train"
"700","young","M","high","emp","big","other"
"701","old","M","high","emp","small","car"
"702","adult","M","high","emp","big","train"
"703","adult","M","uni","emp","big","car"
"704","adult","M","uni","emp","small","train"
"705","adult","M","uni","emp","big","other"
"706","young","F","high","emp","big","car"
"707","adult","F","high","emp","big","train"
"708","adult","M","high","emp","big","other"
"709","old","M","high","emp","small","other"
"710","young","F","high","emp","big","car"
"711","adult","M","uni","emp","big","train"
"712","young","M","high","self","big","train"
"713","adult","F","high","emp","small","train"
"714","young","M","uni","emp","big","car"
"715","young","F","high","self","big","train"
"716","old","M","high","emp","big","other"
"717","young","F","uni","emp","big","other"
"718","old","M","high","emp","big","train"
"719","adult","F","uni","emp","small","car"
"720","old","M","high","emp","big","car"
"721","adult","F","high","emp","big","train"
"722","adult","F","high","emp","big","other"
"723","adult","F","high","emp","big","train"
"724","old","F","high","emp","big","car"
"725","adult","F","high","emp","big","car"
"726","adult","F","high","emp","big","car"
"727","old","F","uni","emp","big","car"
"728","old","M","high","emp","big","other"
"729","old","M","high","emp","big","car"
"730","adult","M","high","emp","big","train"
"731","young","F","high","emp","big","car"
"732","young","M","high","emp","big","car"
"733","adult","M","high","emp","big","car"
"734","adult","M","high","emp","big","car"
"735","adult","M","high","emp","small","car"
"736","young","M","high","emp","small","train"
"737","old","M","high","emp","big","car"
"738","adult","M","high","emp","big","car"
"739","old","F","high","emp","small","car"
"740","young","F","high","emp","big","other"
"741","adult","M","uni","emp","big","car"
"742","adult","M","high","emp","big","car"
"743","old","M","high","emp","small","car"
"744","adult","F","uni","emp","big","train"
"745","adult","F","high","emp","big","car"
"746","adult","M","high","emp","small","train"
"747","young","M","high","emp","big","other"
"748","adult","M","high","emp","big","train"
"749","young","M","uni","emp","big","train"
"750","adult","M","high","emp","small","car"
"751","adult","F","uni","emp","big","car"
"752","young","M","high","emp","big","other"
"753","young","F","uni","emp","small","train"
"754","young","M","high","emp","big","other"
"755","adult","F","uni","emp","big","car"
"756","young","M","high","emp","big","car"
"757","young","M","high","emp","big","car"
"758","young","M","high","emp","big","car"
"759","old","M","high","emp","small","other"
"760","adult","M","uni","emp","big","car"
"761","adult","M","uni","emp","big","other"
"762","old","M","high","emp","big","other"
"763","adult","M","high","emp","small","train"
"764","adult","F","high","self","big","car"
"765","adult","F","high","emp","big","train"
"766","old","M","uni","emp","big","train"
"767","adult","F","uni","emp","big","train"
"768","adult","M","high","emp","small","train"
"769","adult","M","high","emp","big","car"
"770","adult","M","uni","emp","small","train"
"771","young","F","high","emp","big","other"
"772","young","F","high","emp","big","other"
"773","adult","M","high","emp","big","train"
"774","young","M","high","emp","small","car"
"775","adult","F","uni","emp","big","train"
"776","young","M","high","emp","big","car"
"777","old","F","high","emp","big","car"
"778","adult","F","high","emp","small","car"
"779","old","M","high","emp","big","car"
"780","young","M","uni","emp","big","car"
"781","adult","M","high","emp","big","train"
"782","adult","F","high","emp","big","other"
"783","old","M","high","emp","big","car"
"784","young","F","high","emp","small","car"
"785","young","F","high","emp","big","car"
"786","old","M","high","emp","small","train"
"787","old","M","high","emp","big","train"
