"","dm_1","foto_1","straaling_1","temp_1","lai_1","meldug_1","lai_0","dm_2","foto_2","straaling_2","temp_2","lai_2","meldug_2","dm_3","foto_3","straaling_3","temp_3","lai_3","meldug_3","dm_4","foto_4","straaling_4","temp_4","lai_4","meldug_4","mikro_1","middel_1","mikro_2","middel_2","mikro_3","middel_3","nedboer_1","nedboer_2","nedboer_3","udbytte"
"11","0_26_kg_m2","0_50_kg_m2","150___199_MJ_m2","____17_0_C","5_5___6_5","0_01___0_5_%","5_5___6_5","0_54_kg_m2","0_50_kg_m2","150___199_MJ_m2","____17_0_C","5_5___6_5","0_00___0_01__","1_04_kg_m2","0_90_kg_m2","300___349_MJ_m2","15_0___16_9_C","4_5___5_5","0_00___0_01__","1_20_kg_m2","0_50_kg_m2","___300_MJ_m2","____17_0_C","1_5___2_5","0_00___0_01__","V_dt_og_varmt","0_75_l_ha","T_rt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_l_ha","2___3","0___1","0___1","101___103_hkg_ha"
"12","0_34_kg_m2","0_60_kg_m2","200___249_MJ_m2","13_0___14_9_C","3_5___4_5","25___50_%","5_5___6_5","0_56_kg_m2","0_50_kg_m2","150___199_MJ_m2","___13_0_C","2_5___3_5","25___50__","0_98_kg_m2","0_80_kg_m2","350___399_MJ_m2","____17_0_C","1_5___2_5","0_01___0_5__","1_00_kg_m2","0_30_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_5___1__","V_dt_og_koldt","0_l_ha","T_rt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_l_ha","2___3","0___1","0___1","85___87_hkg_ha"
"13","0_40_kg_m2","0_65_kg_m2","200___249_MJ_m2","13_0___14_9_C","5_5___6_5","6___10_%","5_5___6_5","0_72_kg_m2","0_60_kg_m2","200___249_MJ_m2","13_0___14_9_C","4_5___5_5","10___25__","1_14_kg_m2","0_80_kg_m2","300___349_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_40_kg_m2","0_60_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_75_l_ha","0___1","____4","2___3","117___119_hkg_ha"
"14","0_40_kg_m2","0_70_kg_m2","200___249_MJ_m2","13_0___14_9_C","5_5___6_5","1___2_%","4_5___5_5","0_58_kg_m2","0_40_kg_m2","150___199_MJ_m2","____17_0_C","4_5___5_5","0_00___0_01__","0_98_kg_m2","0_80_kg_m2","350___399_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","0_96_kg_m2","0_25_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_75_l_ha","T_rt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","____4","0___1","2___3","81___83_hkg_ha"
"15","0_46_kg_m2","0_75_kg_m2","____250_MJ_m2","13_0___14_9_C","5_5___6_5","0_00___0_01_%","5_5___6_5","0_66_kg_m2","0_50_kg_m2","200___249_MJ_m2","15_0___16_9_C","4_5___5_5","0_00___0_01__","0_96_kg_m2","0_65_kg_m2","300___349_MJ_m2","____17_0_C","2_5___3_5","0_00___0_01__","1_14_kg_m2","0_55_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_75_l_ha","T_rt_og_koldt","0_l_ha","T_rt_og_varmt","0_50_l_ha","0___1","0___1","0___1","95___97_hkg_ha"
"16","0_38_kg_m2","0_65_kg_m2","____250_MJ_m2","___13_0_C","2_5___3_5","10___25_%","2_5___3_5","0_58_kg_m2","0_45_kg_m2","200___249_MJ_m2","13_0___14_9_C","1_5___2_5","0_5___1__","0_80_kg_m2","0_50_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","0_70_kg_m2","0_05_kg_m2","___300_MJ_m2","15_0___16_9_C","0_0___0_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_l_ha","0___1","____4","____4","57___59_hkg_ha"
"17","0_34_kg_m2","0_55_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","6___10_%","5_5___6_5","0_50_kg_m2","0_35_kg_m2","___150_MJ_m2","____17_0_C","4_5___5_5","0_00___0_01__","1_06_kg_m2","1_00_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_04_kg_m2","0_25_kg_m2","___300_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","____4","2___3","____4","87___89_hkg_ha"
"18","0_18_kg_m2","0_40_kg_m2","150___199_MJ_m2","15_0___16_9_C","3_5___4_5","0_01___0_5_%","3_5___4_5","0_48_kg_m2","0_55_kg_m2","200___249_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","0_94_kg_m2","0_85_kg_m2","350___399_MJ_m2","____17_0_C","2_5___3_5","0_00___0_01__","1_10_kg_m2","0_45_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","V_dt_og_varmt","0_25_l_ha","2___3","0___1","____4","91___93_hkg_ha"
"19","0_22_kg_m2","0_40_kg_m2","___150_MJ_m2","13_0___14_9_C","5_5___6_5","2___6_%","5_5___6_5","0_54_kg_m2","0_55_kg_m2","200___249_MJ_m2","15_0___16_9_C","5_5___6_5","6___10__","0_90_kg_m2","0_70_kg_m2","300___349_MJ_m2","____17_0_C","3_5___4_5","2___6__","1_06_kg_m2","0_45_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","2___6__","V_dt_og_varmt","0_l_ha","V_dt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_l_ha","____4","____4","____4","89___91_hkg_ha"
"20","0_30_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","1___2_%","5_5___6_5","0_60_kg_m2","0_55_kg_m2","200___249_MJ_m2","____17_0_C","5_5___6_5","10___25__","0_78_kg_m2","0_45_kg_m2","350___399_MJ_m2","____17_0_C","0_5___1_5","50___100__","0_64_kg_m2","0_00_kg_m2","___300_MJ_m2","13_0___14_9_C","0_0___0_5","2___6__","T_rt_og_varmt","0_l_ha","V_dt_og_varmt","0_l_ha","T_rt_og_varmt","0_25_l_ha","2___3","____4","0___1","53___55_hkg_ha"
"21","0_30_kg_m2","0_55_kg_m2","200___249_MJ_m2","___13_0_C","2_5___3_5","1___2_%","2_5___3_5","0_52_kg_m2","0_50_kg_m2","200___249_MJ_m2","15_0___16_9_C","2_5___3_5","1___2__","0_94_kg_m2","0_80_kg_m2","____400_MJ_m2","15_0___16_9_C","1_5___2_5","0_5___1__","1_04_kg_m2","0_40_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_l_ha","V_dt_og_varmt","0_25_l_ha","T_rt_og_varmt","0_25_l_ha","0___1","____4","0___1","89___91_hkg_ha"
"22","0_12_kg_m2","0_30_kg_m2","150___199_MJ_m2","13_0___14_9_C","1_5___2_5","25___50_%","3_5___4_5","0_32_kg_m2","0_45_kg_m2","200___249_MJ_m2","13_0___14_9_C","1_5___2_5","2___6__","0_58_kg_m2","0_55_kg_m2","350___399_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","0_42_kg_m2","0_00_kg_m2","___300_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_75_l_ha","2___3","2___3","2___3","33___35_hkg_ha"
"23","0_24_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","25___50_%","5_5___6_5","0_38_kg_m2","0_35_kg_m2","150___199_MJ_m2","15_0___16_9_C","1_5___2_5","0_01___0_5__","0_50_kg_m2","0_35_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","0_36_kg_m2","0_00_kg_m2","350___399_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_25_l_ha","____4","____4","0___1","29___31_hkg_ha"
"24","0_12_kg_m2","0_35_kg_m2","150___199_MJ_m2","____17_0_C","3_5___4_5","0_01___0_5_%","3_5___4_5","0_38_kg_m2","0_50_kg_m2","150___199_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","0_80_kg_m2","0_80_kg_m2","300___349_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","0_92_kg_m2","0_40_kg_m2","___300_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_50_l_ha","V_dt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","2___3","____4","____4","77___79_hkg_ha"
"25","0_22_kg_m2","0_45_kg_m2","150___199_MJ_m2","15_0___16_9_C","2_5___3_5","1___2_%","3_5___4_5","0_42_kg_m2","0_40_kg_m2","150___199_MJ_m2","___13_0_C","2_5___3_5","0_00___0_01__","0_64_kg_m2","0_55_kg_m2","300___349_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","0_88_kg_m2","0_50_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_50_l_ha","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","2___3","____4","____4","73___75_hkg_ha"
"26","0_14_kg_m2","0_30_kg_m2","200___249_MJ_m2","13_0___14_9_C","0_5___1_5","50___100_%","5_5___6_5","0_16_kg_m2","0_20_kg_m2","200___249_MJ_m2","____17_0_C","0_5___1_5","0_5___1__","0_28_kg_m2","0_40_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","0_20_kg_m2","0_05_kg_m2","350___399_MJ_m2","13_0___14_9_C","0_0___0_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","V_dt_og_varmt","0_l_ha","____4","____4","2___3","17___19_hkg_ha"
"27","0_16_kg_m2","0_35_kg_m2","___150_MJ_m2","15_0___16_9_C","3_5___4_5","10___25_%","5_5___6_5","0_42_kg_m2","0_50_kg_m2","200___249_MJ_m2","15_0___16_9_C","3_5___4_5","1___2__","0_90_kg_m2","0_85_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","6___10__","1_02_kg_m2","0_40_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_5___1_5","25___50__","V_dt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_l_ha","V_dt_og_varmt","0_l_ha","____4","2___3","____4","85___87_hkg_ha"
"28","0_30_kg_m2","0_55_kg_m2","150___199_MJ_m2","13_0___14_9_C","4_5___5_5","0_5___1_%","5_5___6_5","0_62_kg_m2","0_60_kg_m2","200___249_MJ_m2","15_0___16_9_C","4_5___5_5","0_5___1__","1_06_kg_m2","0_90_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_20_kg_m2","0_50_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_l_ha","V_dt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","0___1","____4","____4","101___103_hkg_ha"
"29","0_28_kg_m2","0_55_kg_m2","150___199_MJ_m2","___13_0_C","4_5___5_5","2___6_%","5_5___6_5","0_52_kg_m2","0_45_kg_m2","150___199_MJ_m2","15_0___16_9_C","4_5___5_5","0_00___0_01__","1_04_kg_m2","0_95_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_18_kg_m2","0_50_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_50_l_ha","T_rt_og_koldt","0_50_l_ha","2___3","2___3","0___1","99___101_hkg_ha"
"30","0_20_kg_m2","0_40_kg_m2","___150_MJ_m2","15_0___16_9_C","4_5___5_5","0_5___1_%","4_5___5_5","0_40_kg_m2","0_40_kg_m2","150___199_MJ_m2","____17_0_C","4_5___5_5","0_00___0_01__","0_96_kg_m2","1_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_02_kg_m2","0_35_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_l_ha","V_dt_og_koldt","0_50_l_ha","2___3","2___3","2___3","85___87_hkg_ha"
"31","0_30_kg_m2","0_55_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","2___6_%","5_5___6_5","0_68_kg_m2","0_70_kg_m2","200___249_MJ_m2","13_0___14_9_C","4_5___5_5","0_00___0_01__","1_12_kg_m2","0_85_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_28_kg_m2","0_45_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_25_l_ha","T_rt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_25_l_ha","____4","0___1","0___1","109___111_hkg_ha"
"32","0_20_kg_m2","0_35_kg_m2","___150_MJ_m2","____17_0_C","3_5___4_5","0_01___0_5_%","3_5___4_5","0_48_kg_m2","0_50_kg_m2","150___199_MJ_m2","___13_0_C","3_5___4_5","0_00___0_01__","0_84_kg_m2","0_75_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_02_kg_m2","0_50_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_75_l_ha","T_rt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_25_l_ha","2___3","0___1","0___1","87___89_hkg_ha"
"33","0_26_kg_m2","0_45_kg_m2","150___199_MJ_m2","____17_0_C","3_5___4_5","0_01___0_5_%","3_5___4_5","0_40_kg_m2","0_40_kg_m2","200___249_MJ_m2","____17_0_C","2_5___3_5","2___6__","0_90_kg_m2","0_95_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_08_kg_m2","0_50_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_25_l_ha","2___3","2___3","____4","91___93_hkg_ha"
"34","0_24_kg_m2","0_45_kg_m2","___150_MJ_m2","___13_0_C","3_5___4_5","10___25_%","4_5___5_5","0_48_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","10___25__","0_70_kg_m2","0_55_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","50___100__","0_56_kg_m2","0_00_kg_m2","___300_MJ_m2","13_0___14_9_C","0_0___0_5","1___2__","V_dt_og_koldt","0_l_ha","V_dt_og_varmt","0_l_ha","T_rt_og_varmt","0_25_l_ha","____4","____4","2___3","47___49_hkg_ha"
"35","0_30_kg_m2","0_55_kg_m2","200___249_MJ_m2","13_0___14_9_C","2_5___3_5","6___10_%","2_5___3_5","0_42_kg_m2","0_30_kg_m2","___150_MJ_m2","____17_0_C","2_5___3_5","0_01___0_5__","0_72_kg_m2","0_60_kg_m2","300___349_MJ_m2","15_0___16_9_C","1_5___2_5","0_00___0_01__","0_78_kg_m2","0_35_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","V_dt_og_koldt","0_25_l_ha","____4","____4","2___3","65___67_hkg_ha"
"36","0_00_kg_m2","0_00_kg_m2","____250_MJ_m2","13_0___14_9_C","0_0___0_5","50___100_%","___6_5","0_00_kg_m2","0_00_kg_m2","200___249_MJ_m2","15_0___16_9_C","0_0___0_5","0_01___0_5__","0_00_kg_m2","0_05_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_0___0_5","0_00___0_01__","0_00_kg_m2","0_00_kg_m2","300___349_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_25_l_ha","0___1","2___3","____4","0___1_hkg_ha"
"37","0_30_kg_m2","0_55_kg_m2","150___199_MJ_m2","___13_0_C","5_5___6_5","10___25_%","5_5___6_5","0_48_kg_m2","0_40_kg_m2","150___199_MJ_m2","15_0___16_9_C","5_5___6_5","0_01___0_5__","0_94_kg_m2","0_85_kg_m2","300___349_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_04_kg_m2","0_40_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_50_l_ha","T_rt_og_varmt","0_25_l_ha","____4","2___3","2___3","87___89_hkg_ha"
"38","0_32_kg_m2","0_60_kg_m2","____250_MJ_m2","____17_0_C","5_5___6_5","2___6_%","5_5___6_5","0_52_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","4_5___5_5","6___10__","0_96_kg_m2","0_85_kg_m2","300___349_MJ_m2","15_0___16_9_C","2_5___3_5","1___2__","1_06_kg_m2","0_40_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_01___0_5__","V_dt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_25_l_ha","____4","2___3","2___3","89___91_hkg_ha"
"39","0_00_kg_m2","0_00_kg_m2","150___199_MJ_m2","13_0___14_9_C","0_0___0_5","50___100_%","5_5___6_5","0_00_kg_m2","0_00_kg_m2","200___249_MJ_m2","____17_0_C","0_0___0_5","0_01___0_5__","0_00_kg_m2","0_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_0___0_5","2___6__","0_00_kg_m2","0_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_0___0_5","1___2__","T_rt_og_koldt","0_25_l_ha","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_l_ha","2___3","0___1","____4","0___1_hkg_ha"
"40","0_38_kg_m2","0_70_kg_m2","200___249_MJ_m2","13_0___14_9_C","___6_5","0_00___0_01_%","5_5___6_5","0_60_kg_m2","0_50_kg_m2","150___199_MJ_m2","15_0___16_9_C","___6_5","0_00___0_01__","1_14_kg_m2","0_95_kg_m2","300___349_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_34_kg_m2","0_55_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_l_ha","V_dt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_50_l_ha","____4","____4","0___1","113___115_hkg_ha"
"41","0_34_kg_m2","0_60_kg_m2","200___249_MJ_m2","___13_0_C","3_5___4_5","0_01___0_5_%","4_5___5_5","0_56_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","0_84_kg_m2","0_60_kg_m2","300___349_MJ_m2","____17_0_C","1_5___2_5","0_00___0_01__","0_98_kg_m2","0_45_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_l_ha","0___1","____4","0___1","83___85_hkg_ha"
"42","0_24_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","2___6_%","5_5___6_5","0_50_kg_m2","0_50_kg_m2","200___249_MJ_m2","13_0___14_9_C","5_5___6_5","0_00___0_01__","1_20_kg_m2","1_15_kg_m2","350___399_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","1_20_kg_m2","0_30_kg_m2","___300_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_l_ha","T_rt_og_koldt","0_50_l_ha","____4","____4","2___3","101___103_hkg_ha"
"43","0_14_kg_m2","0_30_kg_m2","___150_MJ_m2","____17_0_C","2_5___3_5","25___50_%","5_5___6_5","0_44_kg_m2","0_60_kg_m2","200___249_MJ_m2","___13_0_C","2_5___3_5","2___6__","0_78_kg_m2","0_70_kg_m2","350___399_MJ_m2","15_0___16_9_C","1_5___2_5","0_00___0_01__","0_80_kg_m2","0_30_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_75_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","2___3","____4","____4","67___69_hkg_ha"
