"","N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"16","Down","Down","WeakUp","Down","Down","Neutral","Dry","Neutral","Dry","PC","Clear","Clear","Clear","None","Weak","Westerly","None","None","None","None","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Jun15_Jul1","C","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","Average","ACEFK","PartInhibit","Unfavorable","None","C","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Dry","ModerateOrLe","NoMajor","MoistMDryL","E_W_S","SigPositive","None","NWQuad","Westerly","WidespdDnsl"
"17","Down","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Dry","PC","Clear","PC","PC","None","Weak","StrongWest","Weak","Strong","Weak","Some","LittleChange","LittleChange","StrongPos","Increasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N5GtLIGt_8","Neutral","Average","MoreUnstable","ACEFK","PartInhibit","Moderate","None","K","XNIL","XNIL","XNIL","Other","ModerateOrLe","Average","ModerateOrLe","StrongFront","DryMMoistL","MovingFtorOt","SigNegative","None","AllElse","Westerly","WidespdDnsl"
"18","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","VeryWet","Wet","VeryWet","Cloudy","Clear","PC","PC","Weak","Weak","DCVZFavor","Weak","Weak","Weak","Marked","LittleChange","LittleChange","Neutral","LittleChange","SIG","May15_Jun14","I","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","HI","PartInhibit","Weak","Slight","I","SIG","SIG","SIG","LowSHighN","Steep","Dry","Steep","StrongFront","MoistMDryL","MovingFtorOt","SigNegative","QStationary","SWQuad","LVorOther","E_NE"
"19","WeakUp","Down","Neutral","Neutral","Neutral","Dry","Neutral","Neutral","Dry","Clear","Clear","Clear","Clear","None","None","StrongWest","None","Weak","None","None","LittleChange","LittleChange","Negative","LittleChange","XNIL","Aug20_Sep15","G","CThruK","PartInhibit","Average","Average","G","LILt_8","Neutral","LessUnstable","LessUnstable","GJ","None","Moderate","Strong","G","SIG","SIG","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","DryLine","LittleChange","None","SWQuad","LVorOther","LV"
"20","Down","StronUp","Neutral","Neutral","Neutral","Wet","Neutral","Dry","Dry","PC","Clear","PC","PC","None","None","Westerly","None","None","None","None","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Jul16_Aug10","E","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","MoreUnstable","ACEFK","PartInhibit","Strong","Moderate","E","SIG","SIG","SIG","LowAtStation","ModerateOrLe","Average","Steep","NoMajor","DryMMoistL","DryLine","PosToNeg","None","SWQuad","Westerly","LV"
"21","WeakUp","Neutral","Down","WeakUp","WeakUp","Neutral","Wet","Wet","VeryWet","Clear","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Strong","None","Strong","Some","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Jul16_Aug10","C","CThruK","Stifling","MoreThanAve","Average","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","LessUnstable","ACEFK","PartInhibit","Moderate","Moderate","C","SIG","SIG","SIG","Other","Steep","Average","CloseToDryAd","StrongFront","MoistMDryL","Other","SigPositive","Other","AllElse","Westerly","WidespdDnsl"
"22","Down","Down","Neutral","Down","Down","Wet","Neutral","Neutral","Neutral","Cloudy","Clear","Cloudy","Cloudy","Weak","Strong","DCVZFavor","Weak","None","Weak","Some","LittleChange","LittleChange","StrongPos","Increasing","SIG","Jul16_Aug10","G","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","G","N1GtLIGt_4","Stability","Average","MoreUnstable","GJ","None","Moderate","Strong","G","SIG","SIG","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","NoMajor","Other","DryLine","SigPositive","None","LV","Westerly","WidespdDnsl"
"23","WeakUp","StronUp","Neutral","Neutral","Neutral","VeryWet","Dry","Wet","Neutral","PC","PC","PC","PC","None","Weak","StrongWest","Strong","Strong","Strong","None","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jul2_Jul15","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N1GtLIGt_4","Instability","LessUnstable","Average","ACEFK","PartInhibit","Moderate","Strong","K","XNIL","XNIL","SIG","Other","Stable","Dry","CloseToDryAd","StrongFront","DryMMoistL","MovingFtorOt","NegToPos","None","NWQuad","LVorOther","SEQuad"
"24","Down","Down","Neutral","Down","Down","Wet","Dry","Dry","Dry","PC","Clear","PC","PC","Strong","Strong","DCVZFavor","Strong","None","Strong","Marked","LittleChange","LittleChange","WeakPos","LittleChange","SIG","Jul16_Aug10","K","CThruK","Stifling","MoreThanAve","MoreThanAve","K","LIGt0","Instability","LessUnstable","LessUnstable","ACEFK","None","Strong","Strong","K","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","Average","ModerateOrLe","StrongFront","DryMMoistL","E_W_N","LittleChange","QStationary","AllElse","Westerly","WidespdDnsl"
"25","WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","VeryWet","Wet","VeryWet","Clear","Cloudy","PC","PC","Weak","Strong","Westerly","Strong","Strong","Strong","Some","IncCapDecIns","Increasing","Negative","LittleChange","SIG","Jul2_Jul15","I","CThruK","PartInhibit","Average","MoreThanAve","ABI","N5GtLIGt_8","Stability","Average","MoreUnstable","HI","PartInhibit","Unfavorable","None","I","SIG","SIG","SIG","LowMtsHighPl","Steep","VeryMoist","CloseToDryAd","NoMajor","MoistMDryL","E_W_S","SigNegative","QStationary","LV","LVorOther","E_NE"
"26","Down","Neutral","Neutral","Neutral","Neutral","Wet","Neutral","Wet","VeryWet","PC","Cloudy","Cloudy","Cloudy","None","None","StrongWest","None","Weak","Weak","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","None","Weak","Slight","K","SIG","SIG","SIG","LowEvrywhere","ModerateOrLe","Dry","ModerateOrLe","StrongFront","MoistMDryL","E_W_N","NegToPos","Moving","AllElse","Westerly","WidespdDnsl"
"27","Down","WeakUp","Down","Down","Down","Neutral","Neutral","Neutral","Dry","Clear","Clear","Clear","Clear","Weak","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","Negative","Decreasing","SIG","Aug20_Sep15","D","CThruK","None","LessThanAve","LessThanAve","CDEJ","LILt_8","Instability","MoreUnstable","MoreUnstable","D","Stifling","Moderate","Strong","D","XNIL","XNIL","SIG","LowNHighS","Steep","Dry","Steep","OtherRapid","DryMMoistL","None","SigNegative","QStationary","NWQuad","Westerly","WidespdDnsl"
"28","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Neutral","Clear","PC","Clear","Clear","Strong","Strong","DCVZFavor","Weak","Weak","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Jun15_Jul1","F","CThruK","Stifling","Average","MoreThanAve","F","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Unfavorable","Slight","F","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","None","LittleChange","None","LV","LVorOther","SEQuad"
"29","Neutral","WeakUp","Neutral","Neutral","Neutral","Wet","Neutral","VeryWet","VeryWet","Clear","Clear","Clear","Clear","Weak","Strong","Westerly","Strong","Weak","Strong","Some","LittleChange","LittleChange","Neutral","LittleChange","SVR","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","LILt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Moderate","Moderate","K","SIG","SVR","SVR","Other","Steep","Dry","ModerateOrLe","MarkedUpper","Other","MovingFtorOt","SigNegative","None","AllElse","Westerly","WidespdDnsl"
"30","Neutral","StronUp","WeakUp","WeakUp","WeakUp","Dry","Neutral","VeryWet","VeryWet","PC","Clear","PC","Cloudy","Weak","Weak","Other","None","Weak","None","None","IncCapDecIns","Increasing","Negative","Decreasing","SIG","Aug20_Sep15","K","CThruK","Stifling","Average","MoreThanAve","K","N1GtLIGt_4","Neutral","Average","LessUnstable","ACEFK","None","Unfavorable","None","K","XNIL","SIG","SIG","LowNHighS","ModerateOrLe","Average","CloseToDryAd","StrongFront","DryMMoistL","DryLine","SigPositive","QStationary","NWQuad","Westerly","LongAnticyc"
"31","Neutral","StronUp","StrongUp","StrongUp","StrongUp","Wet","Neutral","Wet","Wet","Cloudy","Clear","Cloudy","Cloudy","None","None","DCVZFavor","None","None","None","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Aug20_Sep15","H","CThruK","PartInhibit","Average","LessThanAve","H","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","PartInhibit","Strong","Strong","H","XNIL","XNIL","XNIL","Other","Steep","VeryMoist","CloseToDryAd","MarkedUpper","DryMMoistL","MovingFtorOt","LittleChange","Moving","AllElse","Westerly","E_NE"
"32","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","VeryWet","Wet","Wet","PC","PC","PC","PC","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","WeakPos","LittleChange","SVR","Aug11_Aug20","C","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","PartInhibit","Strong","Strong","C","XNIL","XNIL","SVR","LowEvrywhere","CloseToDryAd","Average","ModerateOrLe","OtherRapid","MoistMDryL","E_W_N","SigPositive","None","NWQuad","Westerly","LV"
"33","StrongUp","Neutral","WeakUp","Neutral","Neutral","VeryWet","Wet","VeryWet","Wet","PC","PC","PC","PC","Strong","Strong","DCVZFavor","Strong","None","Strong","Marked","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug20_Sep15","C","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Unfavorable","None","C","SVR","SVR","SVR","LowEvrywhere","CloseToDryAd","Dry","Steep","OtherRapid","MoistMDryL","MovingFtorOt","SigPositive","Other","LV","LVorOther","LongAnticyc"
"34","WeakUp","Neutral","Down","Neutral","Neutral","Wet","VeryWet","Wet","Wet","Clear","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Strong","None","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","May15_Jun14","I","CThruK","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","HI","None","Strong","Strong","I","SVR","SVR","SVR","HighEvrywher","Steep","Average","CloseToDryAd","OtherRapid","Other","MovingFtorOt","SigPositive","Moving","AllElse","LVorOther","E_NE"
"35","StrongUp","Neutral","WeakUp","WeakUp","WeakUp","Dry","Neutral","Dry","Dry","PC","Cloudy","PC","PC","None","None","DCVZFavor","None","None","Weak","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","May15_Jun14","B","AB","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","B","None","Moderate","Moderate","B","XNIL","XNIL","XNIL","HighEvrywher","Stable","VeryMoist","CloseToDryAd","NoMajor","DryMMoistL","DenvCyclone","PosToNeg","Other","SWQuad","Westerly","DenvCyclone"
"36","Down","Down","Down","Down","Down","Neutral","Wet","Wet","Neutral","PC","PC","PC","Clear","Weak","Strong","StrongWest","Strong","None","Strong","Some","LittleChange","LittleChange","Neutral","LittleChange","SIG","May15_Jun14","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","LIGt0","Stability","LessUnstable","LessUnstable","D","Stifling","Unfavorable","None","D","XNIL","XNIL","SIG","LowEvrywhere","Steep","Average","ModerateOrLe","MarkedUpper","DryMMoistL","DryLine","NegToPos","QStationary","SWQuad","Westerly","LongAnticyc"
"37","StrongUp","Down","Down","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","PC","PC","PC","Cloudy","Strong","Strong","Westerly","Strong","Strong","Strong","Marked","LittleChange","LittleChange","Neutral","LittleChange","SIG","Jun15_Jul1","C","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","ACEFK","PartInhibit","Weak","None","C","XNIL","XNIL","SIG","LowAtStation","Steep","Dry","ModerateOrLe","MarkedUpper","DryMMoistL","E_W_N","SigPositive","Other","NWQuad","Westerly","LongAnticyc"
"38","StrongUp","WeakUp","Down","WeakUp","WeakUp","Dry","Wet","Wet","Wet","PC","PC","PC","PC","Strong","Strong","DCVZFavor","Weak","None","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","May15_Jun14","B","AB","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Stability","Average","MoreUnstable","B","None","Moderate","Moderate","B","SVR","SVR","SVR","LowMtsHighPl","Stable","VeryMoist","Steep","MarkedUpper","Other","DenvCyclone","SigNegative","Moving","SWQuad","LVorOther","DenvCyclone"
"39","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","Clear","Clear","Clear","Clear","None","None","DCVZFavor","None","Weak","Weak","None","DecCapIncIns","Decreasing","WeakPos","Increasing","XNIL","May15_Jun14","C","CThruK","Stifling","MoreThanAve","Average","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Weak","None","C","SVR","XNIL","XNIL","Other","CloseToDryAd","Average","Steep","MarkedUpper","MoistMDryL","E_W_N","SigPositive","None","NWQuad","Westerly","LV"
"40","WeakUp","StronUp","Neutral","WeakUp","WeakUp","Wet","Dry","Dry","Dry","PC","Cloudy","PC","PC","Strong","Strong","Westerly","None","None","Weak","Some","IncCapDecIns","Increasing","StrongPos","Increasing","XNIL","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","ACEFK","PartInhibit","Moderate","Slight","K","XNIL","XNIL","XNIL","Other","ModerateOrLe","Average","Steep","StrongFront","MoistMDryL","E_W_N","SigPositive","Moving","SWQuad","Westerly","SEQuad"
"41","Down","StronUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Cloudy","Clear","Cloudy","Cloudy","Weak","Strong","DCVZFavor","Weak","None","Weak","Marked","IncCapDecIns","Increasing","WeakPos","LittleChange","SVR","Aug11_Aug20","B","AB","PartInhibit","Average","MoreThanAve","ABI","LILt_8","Instability","Average","LessUnstable","B","None","Weak","None","B","XNIL","XNIL","SVR","LowMtsHighPl","Stable","VeryMoist","Steep","NoMajor","DryMMoistL","E_W_S","SigPositive","None","SWQuad","LVorOther","DenvCyclone"
"42","Down","Down","Down","Down","Down","Neutral","Neutral","Neutral","Neutral","Clear","PC","PC","Clear","None","None","DCVZFavor","None","None","Weak","None","IncCapDecIns","Increasing","Negative","Decreasing","XNIL","Aug20_Sep15","I","CThruK","PartInhibit","Average","MoreThanAve","ABI","N5GtLIGt_8","Instability","MoreUnstable","LessUnstable","HI","PartInhibit","Unfavorable","None","I","XNIL","XNIL","XNIL","LowSHighN","Steep","Dry","ModerateOrLe","NoMajor","Other","E_W_S","PosToNeg","Moving","NWQuad","LVorOther","E_NE"
"43","Down","StronUp","WeakUp","WeakUp","WeakUp","Wet","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","StrongWest","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","Neutral","LittleChange","SIG","May15_Jun14","B","AB","Stifling","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Instability","Average","Average","B","None","Unfavorable","Slight","B","SVR","SVR","SVR","LowMtsHighPl","Stable","VeryMoist","ModerateOrLe","MarkedUpper","MoistMDryL","DenvCyclone","SigPositive","Other","NWQuad","LVorOther","SEQuad"
"44","StrongUp","StronUp","StrongUp","StrongUp","StrongUp","VeryWet","Neutral","Wet","VeryWet","Clear","Clear","Clear","Cloudy","Strong","Strong","DCVZFavor","Weak","Weak","Strong","Marked","LittleChange","LittleChange","Neutral","LittleChange","SVR","Aug11_Aug20","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","LIGt0","Instability","LessUnstable","LessUnstable","ACEFK","Stifling","Weak","None","K","XNIL","XNIL","SVR","LowAtStation","ModerateOrLe","Dry","Steep","StrongFront","DryMMoistL","MovingFtorOt","NegToPos","None","AllElse","Westerly","WidespdDnsl"
"45","Neutral","Neutral","Down","Neutral","Neutral","Dry","Neutral","Dry","Neutral","Cloudy","Clear","Cloudy","Cloudy","Strong","Strong","StrongWest","Strong","Weak","Strong","Marked","LittleChange","LittleChange","WeakPos","LittleChange","SIG","May15_Jun14","B","AB","Stifling","Average","Average","ABI","LILt_8","Instability","MoreUnstable","MoreUnstable","B","TotalInhibit","Strong","Slight","B","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","Dry","ModerateOrLe","MarkedUpper","DryMMoistL","DenvCyclone","LittleChange","None","AllElse","LVorOther","LV"
