"","A","C","D","H","I","O","T"
"100","young","mild",0,"none",82.9603524219765,60.8422511359432,252.485863435972
"101","old","mild",7.11491721567028,"any",3957.80943035054,416.620260646876,4597.41769420511
"102","young","mild",0,"none",124.523926035783,59.7484606516445,305.632840587664
"103","young","none",0.416522684182586,"any",230.290483899108,56.094825486663,417.366629571736
"104","young","none",0,"none",140.977207856306,60.3282842583414,330.751002717766
"105","adult","none",3.43276025312438,"any",1129.39959221848,166.231240442808,1435.81836846945
"106","adult","none",0,"none",134.95942213619,190.306030863692,483.00285687119
"107","young","none",0,"none",80.5647541946901,47.2809710251476,272.375762306832
"108","adult","none",0,"none",116.649974626842,164.857408646094,417.727028886423
"109","adult","mild",0,"none",134.59372299708,157.164126504842,435.720703662615
"110","old","mild",6.63020900576721,"any",3783.90473987107,314.925978468089,4306.38522149936
"111","adult","none",0,"none",65.6385572125199,183.513652435121,371.217431158362
"112","adult","none",0,"none",110.856329754959,197.466276063997,430.072629886144
"113","adult","none",0,"none",72.6246685381532,211.885027712008,402.342156861979
"114","adult","none",0,"none",102.73035721109,155.358823236233,383.055767109483
"115","young","none",0,"none",102.577429507601,64.7719237563733,298.766524526763
"116","old","mild",7.57376604332667,"any",4274.52113857915,436.794188386401,4945.81164191981
"117","adult","none",0,"none",131.281981682666,171.064684162835,420.172961878142
"118","adult","none",0,"none",72.5691689302237,175.932732393565,362.004026221881
"119","adult","mild",0,"none",103.686862475289,181.995523274097,420.901775131447
"120","adult","mild",0,"none",80.626077021773,193.745005255917,420.014176886263
"121","adult","none",0,"none",102.268500481567,177.610975845178,409.221800980828
"122","young","none",0,"none",81.1671865283181,61.2195221468685,256.412875488721
"123","adult","mild",4.27813664945576,"any",2481.73830740392,202.197744060109,2852.05412210753
"124","young","none",0,"none",71.9737035614352,62.6518300355088,253.770116152778
"125","adult","none",0,"none",89.2987727624711,175.471422507967,376.438642031233
"126","old","mild",0,"none",56.7308827663923,331.578400784698,517.360175185263
"127","adult","mild",0,"none",193.722560827259,212.349663784158,526.315119778057
"128","young","none",0,"none",145.151802829474,66.4161264392801,340.941305436985
"129","old","mild",0,"none",163.498133641758,362.806776845639,670.228898806571
"130","young","none",0,"none",107.36840841183,60.1235110880775,285.294383200119
"131","young","none",0,"none",31.011376431206,56.5894387510782,221.354139165899
"132","young","none",0,"none",84.1128985365091,65.6919866167958,281.244869782696
"133","adult","none",0,"none",119.023000463013,185.250539424238,459.823508569834
"134","young","none",0,"none",132.416996046954,65.6273692065445,316.901757029534
"135","adult","none",3.92062428402039,"any",1283.35536704242,188.483264599458,1636.14952204344
"136","adult","mild",6.47724053240602,"any",3563.207924157,209.548740762754,3971.51126698875
"137","adult","none",5.49450348027005,"any",1725.3445501453,184.825054980838,2069.17623302179
"138","adult","none",0,"none",102.990432836523,170.974747705142,413.73878918988
"139","old","none",0,"none",99.6634650823289,346.208916485104,580.875016185905
"140","young","none",0,"none",107.166406507882,70.5452599321671,317.584996893476
"141","adult","none",4.52091888561532,"any",1463.47238383623,183.029373223731,1814.42511296492
"142","adult","none",0,"none",104.316572944691,158.3581789958,402.788756276771
"143","old","mild",7.78664683642839,"any",4441.90553746127,397.788489308097,5061.09346942116
"144","adult","none",0,"none",93.9344165551929,187.435781945002,415.272164991435
"145","old","mild",0,"none",110.571804396572,392.523813780729,643.582385972446
"146","adult","mild",0,"none",25.7897576472893,174.667757479447,324.967405477416
"147","old","none",10.0798812450479,"any",3179.60857474115,341.741651586675,3740.13566584142
"148","old","none",0,"none",55.3516625181231,354.260726711174,543.94219127777
"149","old","none",0,"none",94.4873934868596,354.479615070488,569.923858757261
"150","adult","none",0,"none",135.530761478287,166.963741150464,453.386202359458
"151","adult","mild",0,"none",69.4967006714525,169.94342683101,373.914680999295
"152","adult","mild",3.58162671459241,"any",2134.5380161119,200.026747704239,2504.60642807754
"153","young","none",0,"none",52.1990468904106,62.6640427604677,268.608525387688
"154","young","none",0,"none",95.7735605926455,61.3623010342812,269.50310303918
"155","old","none",0,"none",85.3072126857707,365.178054741689,582.875411666128
"156","adult","none",3.98642382924496,"any",1295.15148256325,171.893628036048,1622.72182314109
"157","old","none",0,"none",107.588265669325,364.102627285714,620.931523228382
"158","adult","none",0,"none",113.637913498485,177.108433851101,427.719114755459
"159","adult","none",0,"none",53.2840348026197,150.36791225852,329.803946535001
"160","adult","mild",0,"none",59.8319162575711,183.165613214483,358.576954003297
"161","young","none",0,"none",89.6709632414959,40.6021601502261,253.475883329485
"162","adult","none",0,"none",70.8772234066038,213.054229078575,402.071002037069
"163","adult","mild",0,"none",75.4994234035083,202.376850478955,419.197612566042
"164","adult","none",0,"none",148.575450036175,168.026948152497,451.942561492438
"165","adult","none",0,"none",88.1192367702087,161.733980485119,368.728912437561
"166","young","none",0,"none",119.67500027771,61.0126553178332,307.648872823606
"167","adult","none",0,"none",96.8843766470086,162.45545011713,382.486194731927
"168","young","none",0,"none",81.2634041426539,56.4248164562745,251.403392939742
"169","young","none",0,"none",96.3067151958548,79.1238908140049,304.056714007262
"170","young","mild",0,"none",119.869186750959,61.0530370495401,323.474139198104
"171","young","none",0,"none",61.7792592383093,73.3493154270617,257.221458031228
"172","adult","none",5.11653850633819,"any",1674.36166960599,175.555075500613,2019.7561598918
"173","young","none",0,"none",130.612880261006,44.0806702315324,293.659487094414
"174","young","none",0,"none",140.641611033594,71.6764677379704,330.754421149093
"175","young","none",0,"none",89.8369233237898,48.8839689146317,265.10862435796
"176","adult","mild",0,"none",126.289244852298,171.530064914744,409.071304969707
"177","adult","none",0,"none",98.5235302680884,172.252191026111,383.571795344823
"178","young","mild",0,"none",74.291339485606,43.8645536387833,232.641725759521
"179","young","none",0.992732138867274,"any",385.460653069767,90.0093630601879,617.323296047564
"180","adult","none",0,"none",92.958268849019,193.3703017992,418.051062688365
"181","old","mild",5.54251306804695,"any",3188.39721667073,327.915214678132,3711.56040601762
"182","adult","none",5.40271818482028,"any",1767.62657807904,175.349496981416,2095.63072688793
"183","adult","none",0,"none",100.409743270039,175.088608274964,392.626428632373
"184","adult","none",2.99458784958951,"any",990.840653073176,150.40331069154,1275.13420487911
"185","adult","none",0,"none",77.7136172965155,202.906494352217,397.660285013591
"186","young","none",0,"none",152.786753855086,60.7859182557493,336.332269599033
"187","old","mild",0,"none",111.689190242833,323.170635111853,574.914175304483
"188","young","none",0,"none",70.0906464466982,52.3859295390429,235.458552199573
"189","young","none",1.27267919320234,"any",511.655106423909,62.870669059426,698.881374130424
"190","young","none",0,"none",112.300735737909,67.1578896954794,301.404622742628
"191","adult","none",0,"none",145.888695056211,187.371169026441,473.681632413038
"192","adult","mild",0,"none",72.1435453218317,189.033457136802,375.895061451542
"193","old","mild",0,"none",130.798226252595,393.903072782029,666.37269098185
"194","adult","mild",0,"none",155.030367264406,159.334544816855,459.253656088081
"195","adult","none",0,"none",96.3247437499215,162.099408855719,383.288222123071
"196","adult","mild",0,"none",157.913990324205,216.863924704199,495.00108584502
"197","adult","mild",0,"none",51.9485168514501,171.561702990608,338.31490796627
"198","young","none",0,"none",81.4033754947093,60.8290369486874,257.513150527874
"199","young","mild",0,"none",139.326785031142,62.3342460261593,336.943963250721
"200","old","none",0,"none",72.8978180519801,352.179757824065,553.618666055424
"201","adult","none",0,"none",119.915197550501,172.482928049284,419.417848404404
"202","adult","none",0,"none",135.167023300961,192.646877234026,469.418352075202
"203","adult","none",2.47929669502294,"any",832.478573711514,217.657154481711,1182.74151881831
"204","old","mild",0,"none",40.0818826008524,371.481372757795,545.027700122028
"205","old","mild",0,"none",85.6215565164527,399.120553508616,620.611584878716
"206","young","severe",0,"none",60.5520317310885,64.05872280417,253.988863487595
"207","adult","none",0,"none",110.585391598377,186.070061005957,428.088542345081
"208","adult","mild",0,"none",147.4257038433,197.837863398265,474.870506318417
"209","old","mild",0,"none",146.751319347443,377.975691070286,655.215029370197
"210","old","none",9.09480516354159,"any",2810.06256578999,337.880307921881,3356.81396049619
"211","adult","none",0,"none",94.5434780295466,163.310270374846,392.835396505878
"212","adult","none",5.30156469048681,"any",1649.04546437887,180.638907134058,1989.29670201828
"213","adult","none",0,"none",86.1744838706802,172.881412931713,381.790864881002
"214","old","mild",7.21409145967778,"any",4156.69750628404,386.703718386324,4740.54484291956
"215","adult","mild",5.14573334178512,"any",3027.71876094152,212.487468851682,3436.39822770778
"216","adult","none",0,"none",134.892445640307,165.960675531312,430.427713496127
"217","young","none",0,"none",89.8965987306269,52.4296191635166,242.307002689793
"218","young","none",0,"none",84.5150570564325,64.0615404280132,276.328513962485
"219","old","mild",0,"none",6.59551797456578,338.025629846897,478.081337398698
"220","old","none",0,"none",50.0817892034831,294.349509072049,479.473666148251
"221","young","none",0,"none",112.934318267202,54.6440366515273,287.804613481153
"222","adult","none",0,"none",90.664120591374,188.627861241627,408.896926642539
"223","old","none",0,"none",46.5057961360078,362.13887841151,541.649116082394
"224","old","none",0,"none",80.5719070811103,371.488582454194,586.548864822396
"225","young","mild",0,"none",66.0880861659202,62.1141731961088,256.685874359777
"226","old","none",0,"none",54.575409455792,433.18521904553,625.974618606564
"227","young","mild",0,"none",97.682590315741,43.6751993188695,272.637896363868
"228","adult","mild",0,"none",191.574293874234,157.827398623239,498.661068714345
"229","old","none",7.77246087808291,"any",2493.16707347855,403.854352224767,3090.41860178407
"230","adult","none",0,"none",144.42999295373,195.683454022825,469.626596220277
"231","adult","none",0,"none",41.4290003737731,161.500083544461,327.196660050535
"232","adult","none",0,"none",110.28424372043,183.293733104781,444.65553096046
"233","adult","mild",2.63690123289738,"any",1524.87124801907,196.409791140305,1886.09500918794
"234","adult","none",0,"none",119.999062387023,193.74168611533,439.285373942164
"235","adult","none",3.17332302447629,"any",1020.4829145569,186.586652938684,1362.44330857006
"236","young","none",1.23113576686503,"any",477.135803323288,46.9479535074108,652.62140981297
"237","young","none",0,"none",122.653646203347,67.0255560763799,321.744600202352
"238","adult","mild",0,"none",62.531245490068,188.427644234036,378.342706144983
"239","young","none",1.63611939942693,"any",618.931916077109,43.9860705224254,806.018343591163
"240","adult","none",0,"none",26.4093291741571,194.637805888086,350.778218626234
"241","adult","severe",0,"none",108.661003818045,155.30288840375,397.739769731288
"242","adult","none",0,"none",79.4995180630168,221.413690970299,414.281477535771
"243","old","none",0,"none",96.7880543144412,316.967940053931,548.095438978704
"244","adult","none",4.82829396781859,"any",1527.41970775326,150.490117670848,1815.50804846672
"245","young","none",0,"none",77.2420638618251,51.0636569248444,255.708735310695
"246","young","none",0.906199560042657,"any",310.461983332539,56.9487650352804,508.17139840871
"247","adult","none",0,"none",104.742666182866,136.9667939921,375.85310586201
"248","adult","none",0,"none",32.9494149294332,191.86979227746,354.303187249662
"249","adult","none",0,"none",109.084437979837,192.705211363443,431.729329397544
"250","young","none",1.22624631320858,"any",482.375055259779,63.3219171630179,681.131851827516
"251","adult","none",0,"none",128.982815007975,194.084229920151,437.068644614176
"252","old","none",8.90250082287208,"any",2776.042361561,303.910582785379,3244.88173862515
"253","adult","none",3.27670130328188,"any",1104.09452384225,196.6822295478,1450.50451627621
"254","old","none",0,"none",108.332524007131,322.194566301946,575.645560266004
"255","young","none",0,"none",48.7182445443608,60.1795639207015,235.242498270013
"256","adult","severe",0,"none",53.3405018736574,201.547684618244,394.437633015132
"257","adult","severe",0,"none",155.529755929975,185.728556993327,481.750401001267
"258","adult","none",0,"none",115.89187480252,203.381788466431,448.082134910881
"259","adult","mild",0,"none",104.892106733091,187.524682413112,430.062987696693
"260","old","mild",9.56232243237486,"any",5343.68859936871,329.675185091377,5915.76072387414
"261","young","none",0,"none",109.301222590341,54.4796156502381,276.612412307429
"262","old","mild",0,"none",128.623118360262,403.100881747984,695.780174849902
"263","adult","none",0,"none",108.582229980159,211.566874626057,450.662235559819
"264","old","none",0,"none",172.41319839213,321.400329131979,606.30448240047
"265","young","none",0,"none",131.749197701704,47.2279551168801,303.269781103465
"266","adult","none",0,"none",62.9193788720025,175.496976391976,374.501169821235
"267","young","none",0,"none",83.432973553062,57.9737420230975,273.609504771046
"268","adult","none",3.66705080758363,"any",1154.2738660609,182.037395400953,1479.52949241217
"269","old","none",6.91121457709966,"any",2200.76831816855,336.81886848412,2724.16742099599
"270","young","none",0,"none",101.877522436422,67.9100285983285,287.642331114587
"271","young","mild",0.550434472154071,"any",479.066650456544,79.4505019564776,700.189363191838
"272","adult","mild",0,"none",120.836449788694,183.776905840529,424.640362172683
"273","adult","mild",0,"none",65.4588987675301,194.346540597419,396.452415229787
"274","young","none",1.52584252635191,"any",539.687983938295,79.2580666402058,748.444573147781
"275","young","none",0,"none",77.3804746540871,66.9628088949481,271.063268961023
"276","young","none",0.806485026148724,"any",351.926491814892,62.1165506344428,519.769017058759
"277","young","none",0,"none",134.740793898106,53.186591885324,324.83692758538
"278","adult","none",0,"none",54.2225447924144,227.463582124016,422.476522541447
"279","adult","none",0,"none",75.0402108821842,151.49337087144,350.71033679875
"280","young","none",0,"none",125.515724788409,56.2735258155891,302.725588471811
"281","adult","none",0,"none",115.210622659627,163.898698923819,402.18630675942
"282","adult","mild",0,"none",35.4102254819061,212.842366812726,376.950743779554
"283","adult","none",0,"none",93.4988154913411,169.222882975226,392.25737228126
"284","adult","none",0,"none",169.810371396933,222.479782964526,524.420841402847
"285","adult","none",1.82161146526158,"any",602.75658980071,176.437929195578,913.331439005731
"286","adult","none",0,"none",72.5632993277162,210.996400131103,416.693764541601
"287","old","none",3.76324147861617,"any",1158.69653044963,391.53731008391,1718.16155068607
"288","adult","none",0,"none",84.7989060983588,177.671552284125,388.748828929592
"289","adult","none",3.58966260226265,"any",1178.87206316163,195.900053679405,1522.24644635155
"290","young","none",0,"none",160.8672094824,85.7081064151916,357.434718302331
"291","adult","mild",0,"none",142.910365925126,169.398568241124,439.879827797992
"292","young","none",0,"none",108.439252994227,60.6969999453026,296.155633137405
"293","adult","none",0,"none",63.8497084495026,194.525396818636,381.81913604757
"294","young","none",0,"none",118.127844458578,79.8053982961573,311.686081249359
"295","young","none",0,"none",42.7277370254595,45.7965559450613,190.038279339907
"296","young","none",0,"none",91.8197453640568,46.6855313816164,261.755408304512
"297","adult","none",0,"none",99.3345322532229,218.604621034436,458.030120865268
"298","young","none",0,"none",100.26243391924,56.8406623842098,288.815920086963
"299","adult","none",0,"none",123.462156945238,164.278296888748,403.609398348601
"300","adult","none",0,"none",102.87154152486,181.537324741743,398.098836055173
"301","adult","mild",0,"none",-5.83576697505943,186.43645401754,305.654804206065
"302","adult","none",0,"none",92.6392610299225,211.21406773953,442.972337354274
"303","adult","none",0,"none",46.6093923763723,152.601960152378,327.654955510236
"304","young","none",0,"none",125.263766884061,63.1352687005003,300.08176290301
"305","old","mild",6.74871964998248,"any",3825.78343028523,387.56371855663,4439.93623661849
"306","adult","none",0,"none",96.8563909634207,202.92645774629,425.122868388325
"307","young","mild",0,"none",58.8841481090582,45.3940426101879,222.045209553927
"308","young","none",0,"none",89.8046662569334,60.0819148923191,280.979543788526
"309","young","none",1.06442922546771,"any",384.129664237733,46.7461211260752,555.573467396634
"310","old","none",8.94839116283526,"any",2800.07996447257,360.789801522553,3360.57873511847
"311","young","none",0,"none",146.068967478726,60.7353297663928,326.356494593503
"312","young","none",0,"none",98.1249627499979,65.0973150906373,271.735198351243
"313","young","none",0,"none",80.0292801873945,56.4652623538225,264.413113569589
"314","adult","none",0,"none",84.5341280629881,183.14714113489,393.141276933898
"315","adult","none",0,"none",110.161098479264,185.306524762606,430.057283356178
"316","young","none",0,"none",108.862303438325,57.030286224922,293.765086549949
"317","young","none",0.63494870141655,"any",286.929440884018,59.6360354175032,483.386785790806
"318","adult","none",0,"none",82.1560585822278,167.092233734084,384.79610859984
"319","old","none",5.06368964209706,"any",1634.97484956441,343.49415728059,2149.41571671828
"320","adult","none",0,"none",147.22654363961,210.223378317252,479.665770664988
"321","adult","none",0,"none",56.5249629589347,158.054042420057,352.981225849282
"322","young","none",0,"none",64.5701760707098,58.5888806356592,257.276769337191
"323","old","none",6.67647091930164,"any",2039.53251146444,444.376636895158,2664.95766126396
"324","adult","none",0,"none",80.953061632019,182.739249281341,395.083413716245
"325","adult","none",3.47374089196109,"any",1149.34907289395,161.393126004103,1451.16297265355
"326","young","none",0,"none",131.981657124426,58.9074038067316,324.821903132927
"327","adult","severe",0,"none",60.6048348935969,177.372490082458,377.259591935664
"328","adult","none",0,"none",104.702593659347,180.916261651105,436.758325743388
"329","young","none",0,"none",45.8290060552173,51.3366789861212,234.24812175445
"330","adult","none",3.14703457999686,"any",1064.95583270812,130.127799112811,1360.58784049675
"331","young","none",0,"none",134.84527364962,60.7833539314964,320.254003503148
"332","adult","none",0,"none",78.151818815141,209.88111348978,413.953031564699
"333","adult","none",0,"none",54.0965428067309,191.225744947075,367.463400776292
"334","young","none",0,"none",75.2110378133082,50.7797136225243,266.727346829038
"335","old","none",7.57612797638898,"any",2349.94252037752,334.284296349818,2883.7457035923
"336","adult","none",4.02910803452083,"any",1281.84828661241,155.393967363195,1592.66901645021
"337","young","none",0,"none",78.7657853278619,49.2769613356953,257.879273958062
"338","adult","none",2.59550360533518,"any",903.316351946115,180.012152692273,1220.38143780469
"339","old","mild",0,"none",57.1694080977079,350.143884690774,542.842320112291
"340","old","mild",4.72444406359994,"any",2710.49074765973,327.836232276362,3239.14255532848
"341","young","none",0,"none",108.223710765492,57.0490340371683,288.842704485767
"342","young","none",0,"none",109.22885906141,60.0887526872836,293.341286356684
"343","adult","mild",0,"none",176.132922484115,182.571889346965,500.998681671139
"344","old","mild",0,"none",139.415491501602,388.542744048806,686.287121861892
"345","adult","none",0,"none",83.8136909724847,165.687000106078,370.402811767011
"346","adult","none",4.59930918735074,"any",1533.26938840119,149.783758818815,1844.00820441476
"347","old","mild",0,"none",126.629458664044,379.539608540386,651.935404208681
"348","old","mild",6.83333442068176,"any",3894.17856256693,364.486664212443,4483.4424906218
"349","adult","none",0,"none",89.3977200037195,155.845665858805,359.677088962822
"350","old","mild",0,"none",132.333436243911,390.757897249794,664.630925468689
"351","young","none",0,"none",107.458264488037,50.9583009924833,282.384611329229
"352","adult","mild",5.11609783709604,"any",2865.8049357792,159.974855977776,3217.76324239614
"353","adult","none",0,"none",84.149608487806,213.569528916248,427.254269357909
"354","young","none",0,"none",104.6229302899,72.6557861947747,307.983521391578
"355","adult","none",3.92766517407956,"any",1262.64530512427,176.762558141299,1585.24819040869
"356","young","none",0,"none",70.4967200788348,74.7698043386561,268.567976524686
"357","adult","none",0,"none",160.996861621239,206.988134646272,509.235320000684
"358","adult","none",0,"none",87.1833093584228,137.051401912696,359.331331757553
"359","adult","none",3.81819657539937,"any",1250.24725938243,162.221783104857,1567.2010823441
"360","adult","none",0,"none",97.9620803427878,198.99392154539,453.231696817244
"361","old","mild",7.84406869183503,"any",4420.04694568489,368.345034122629,5013.97141562049
"362","adult","severe",5.00929728114289,"any",3935.91814361853,171.728737001125,4316.91869984498
"363","adult","none",4.73741742443573,"any",1572.55091838112,170.342182002405,1897.9557060406
"364","young","none",0,"none",66.8893717671473,73.0657529575448,257.637897741775
"365","young","mild",0,"none",145.438823412009,62.0483302714437,345.70891014611
"366","young","none",0,"none",130.761059525204,61.6899703207382,304.55646117355
"367","old","none",0,"none",164.477869507896,370.506268621602,661.434312710187
"368","old","mild",0,"none",138.98656828871,330.318460261654,601.055872616463
"369","old","none",0,"none",69.8355003804149,346.430061615305,547.608434546317
"370","young","none",0,"none",96.9555123329026,65.9339591452949,283.494913856745
"371","adult","none",0,"none",45.9949635116627,160.716429114199,349.041948756051
"372","adult","none",0,"none",41.4709118635565,192.006932519632,347.043222840942
"373","adult","none",0,"none",105.177821102962,144.08987334151,381.135569903754
"374","adult","none",3.67059226397386,"any",1226.78417027391,168.598568409979,1560.80228720022
"375","adult","none",0,"none",115.730676203121,153.310562101286,393.895658629765
"376","old","none",7.54222684354522,"any",2368.29715479792,364.169072841324,2910.77765863308
"377","young","none",0,"none",51.2561637657328,53.9349506247576,215.35679610942
"378","old","mild",9.34005975871902,"any",5145.44749209352,320.728418288268,5689.06382344013
"379","young","none",0,"none",106.361706522867,61.3574936567303,308.673705489975
"380","adult","none",0,"none",137.280922443278,159.303931248342,432.037948901598
"381","old","none",0,"none",106.049269060992,335.551255841728,582.661205869407
"382","adult","none",0,"none",88.0323769827473,184.20928812409,399.337119424184
"383","adult","none",0,"none",161.210304202345,162.268118961236,487.260594843765
"384","adult","none",0,"none",57.8574098301764,178.575244800411,370.758408199378
"385","young","none",0,"none",111.14416254221,53.7521938817376,279.709247329683
"386","young","mild",0,"none",70.9673777786755,49.9292753192752,250.579281017059
